ana|33435900|37192|8|25508700|28089|5|
wpg|125022618|88677|16|9434845|6269|1|
bos|4973850|7895|2|53008661|56147|11|
buf|18191410|19797|5|39811199|37453|8|
cgy|10998875|14538|3|41733260|45450|10|
car|101973304|91607|14|32238089|28698|5|
chi|24912974|31122|6|65259035|61474|11|
col|140526850|108905|20|7671600|8524|1|
cbj|47035439|49957|9|22087024|21732|4|
dal|10851600|25428|7|32188844|30475|6|
det|56372450|56927|10|34017021|32127|5|
edm|8905450|11715|4|38191931|40480|9|
fla|97720709|72292|13|15546825|11039|2|
lak|5566200|8846|2|67955503|64050|13|
min|68416500|64685|10|23528649|22233|5|
mtl|14543165|31963|8|36439445|35378|7|
nas|16109691|16550|5|38874002|41029|8|
njd|55827017|46315|12|8115000|6492|1|
ott|2158800|3084|1|50920647|55067|12|
phi|12923456|20068|5|36797746|37633|8|
phx|6291753|6321|2|61293137|62887|13|
pit|13961400|18290|4|51010700|55474|11|
nyi|16344980|28181|8|34403772|32643|7|
nyr|17677200|25403|6|32995413|33051|7|
sjs|101560154|78020|14|20296100|19065|3|
stl|79437600|88264|12|45030212|38811|7|
tbl|10291219|14774|4|40156155|41327|9|
tor|18905250|29085|7|97099767|79696|14|
van|0|0|0|43665199|48120|13|
was|39214545|36712|8|54871878|51700|9|

