ana|29|2|421|307|114|12.83|91.86|1.92|53.23|11|7|2|2|18|81|22.22|10|54|81.48
atl|8|3|412|323|89|8.5|91.64|2.08|52.66|3|6|0|0|8|53|15.09|12|57|78.95
bos|24|3|418|384|34|11.96|93.23|2|58.24|8|4|3|1|18|65|27.69|4|47|91.49
buf|-42|2|242|458|-216|4.96|88.21|4.15|36.14|2|0|0|3|1|61|1.64|9|54|83.33
cgy|27|4|454|309|145|11.89|91.26|2.08|54.78|18|10|0|0|18|70|25.71|7|46|84.78
car|-18|2|274|434|-160|7.3|91.24|2.92|45.28|2|2|1|1|3|54|5.56|10|63|84.13
chi|-14|0|342|387|-45|12.28|85.53|4.31|54.25|14|4|0|4|8|74|10.81|10|37|72.97
col|44|5|424|313|111|15.33|93.29|1.62|53.31|16|9|2|0|22|84|26.19|7|61|88.52
cbj|60|6|478|265|213|14.64|96.23|0.77|56.13|18|5|4|1|17|71|23.94|3|51|94.12
dal|45|3|431|287|144|14.39|94.08|1.31|55|20|6|2|1|17|64|26.56|6|71|91.55
det|0|4|410|294|116|8.05|88.78|2.54|56.42|8|5|0|2|11|59|18.64|9|63|85.71
edm|19|4|489|265|224|10.22|88.3|2.39|61.73|19|6|0|0|13|58|22.41|11|59|81.36
fla|48|5|519|247|272|12.91|92.31|1.46|56.6|10|10|6|0|14|48|29.17|9|72|87.5
lak|-37|0|317|403|-86|11.04|82.13|5.54|48.9|4|7|3|4|12|71|16.9|21|62|66.13
min|-5|1|358|375|-17|10.34|88.8|3.23|47.31|11|7|2|1|8|51|15.69|12|86|86.05
mtl|-12|2|371|342|29|4.85|91.23|2.31|53.16|1|4|1|0|5|68|7.35|8|48|83.33
nas|55|3|535|201|334|14.02|90.05|1.54|58.58|12|12|1|0|22|57|38.6|9|61|85.25
njd|-40|0|256|466|-210|6.64|87.77|4.39|41.75|5|3|0|2|8|65|12.31|11|53|78.23
ott|-52|0|122|586|-464|5.74|89.93|4.54|24.84|0|0|0|3|4|42|9.52|19|83|77.11
phi|-7|1|314|420|-106|10.51|90.48|3.08|42.45|6|4|0|4|14|66|21.21|7|56|87.5
phx|-25|1|308|397|-89|9.74|86.15|4.23|48.17|8|6|1|2|11|68|16.18|18|52|65.38
pit|-31|0|271|465|-194|9.23|87.96|4.31|41.55|2|3|3|0|8|54|14.81|19|71|73.24
nyi|-87|0|180|548|-368|6.67|81.93|7.62|31.39|3|3|1|4|5|55|9.09|23|66|65.15
nyr|-5|1|350|342|8|10|88.3|3.08|57.72|7|5|4|0|6|49|12.24|12|75|84
sjs|-9|1|281|491|-210|10.68|92.06|3|50.92|5|5|0|3|12|64|18.75|7|60|88.33
stl|27|1|505|269|236|11.29|88.85|2.31|54.71|10|10|2|3|10|54|18.52|17|76|77.63
tbl|9|2|347|382|-35|13.83|89.79|3|54.94|9|12|5|2|12|54|22.22|10|76|86.84
tor|-39|0|341|437|-96|8.8|84.21|5.31|34.6|6|2|1|3|6|57|10.53|21|62|66.13
van|41|2|474|263|211|12.24|93.54|1.31|62.4|9|11|1|0|16|68|23.53|5|54|90.74
was|-13|2|342|336|6|7.02|88.99|2.85|49.26|0|2|2|3|8|58|13.79|9|69|86.96
