1-2||Yaroslav Belyakov|1|35|31|88.6|0|5.9|Colorado|col|26900028|60||bos|03.02.2013
1-2||Yuriy Bakhvalov|1|21|20|95.2|0|5.6|Boston|bos|28500438|60||col|03.02.2013
1-2||Yuriy Bakhvalov|1|14|14|100|1|5.4|Boston|bos|28500438|60||col|02.02.2013
1-2||Yaroslav Belyakov|1|32|26|81.3|0|4.9|Colorado|col|26900028|60||bos|02.02.2013
1-1||Valio Wendelin|1|23|22|95.7|0|6.0|NY Rangers|nyr|27529605|60||bos|27.01.2013
1-2||Yaroslav Belyakov|1|30|29|96.7|0|6.4|Colorado|col|26900028|60||lak|27.01.2013
1-2||Yuriy Bakhvalov|1|21|17|81|0|4.5|Boston|bos|28500438|60||nyr|27.01.2013
1-2||Adam Miček|1|16|16|100|1|5.5|LA Kings|lak|26049920|60||col|27.01.2013
1-2||Yuriy Bakhvalov|1|23|22|95.7|0|5.8|Boston|bos|28500438|60||nyr|26.01.2013
1-2||Adam Miček|1|30|22|73.3|0|4.1|LA Kings|lak|26049920|60||col|26.01.2013
1-1||Valio Wendelin|1|28|23|82.1|0|5.0|NY Rangers|nyr|27529605|60||bos|26.01.2013
1-2||Yaroslav Belyakov|1|40|36|90|0|6.4|Colorado|col|26900028|60||lak|26.01.2013
1-1||Argentino Estrada|1|35|30|85.7|0|5.6|Ottawa|ott|21192844|60||bos|20.01.2013
1-2||Valio Wendelin|1|12|12|100|1|5.3|NY Rangers|nyr|27529605|60||was|20.01.2013
1-2||Yaroslav Belyakov|1|29|27|93.1|0|6.2|Colorado|col|26900028|60||stl|20.01.2013
1-2||Adam Miček|1|35|31|88.6|0|6.0|LA Kings|lak|26049920|60||cgy|20.01.2013
1-2||Yuriy Bakhvalov|1|20|19|95|0|5.5|Boston|bos|28500438|60||ott|20.01.2013
1-2||Jukums Ērglis|1|42|38|90.5|0|6.6|Washington|was|29166338|60||nyr|20.01.2013
1-2||Wilhelm Nielsen|1|25|21|84|0|5.0|St. Louis|stl|29010523|60||col|20.01.2013
1-2||Miron Surautsau|1|20|15|75|0|4.1|Calgary|cgy|22262697|60||lak|20.01.2013
1-2||Yuriy Bakhvalov|1|27|25|92.6|0|6.0|Boston|bos|28500438|60||ott|19.01.2013
1-2||Valio Wendelin|1|20|16|80|0|4.4|NY Rangers|nyr|27529605|60||was|19.01.2013
1-2||Wilhelm Nielsen|1|30|25|83.3|0|5.2|St. Louis|stl|29010523|60||col|19.01.2013
1-2||Miron Surautsau|1|27|23|85.2|0|5.3|Calgary|cgy|22262697|60||lak|19.01.2013
1-1||Bohumír Dlouhý|1|33|28|84.8|0|5.3|Ottawa|ott|29241980|60||bos|19.01.2013
1-2||Jukums Ērglis|1|35|33|94.3|0|6.8|Washington|was|29166338|60||nyr|19.01.2013
1-2||Yaroslav Belyakov|1|28|24|85.7|0|5.3|Colorado|col|26900028|60||stl|19.01.2013
1-2||Adam Miček|1|32|29|90.6|0|6.2|LA Kings|lak|26049920|60||cgy|19.01.2013
1-2||Yuriy Bakhvalov|1|15|15|100|1|5.4|Boston|bos|28500438|60||mtl|13.01.2013
1-2||Jaroslav Bednařík|1|32|26|81.3|0|4.9|Buffalo|buf|29623573|60||was|13.01.2013
1-2||Valio Wendelin|1|14|14|100|1|5.5|NY Rangers|nyr|27529605|60||tbl|13.01.2013
1-2||František Schrötter|1|28|24|85.7|0|5.5|Carolina|car|26967848|60||ott|13.01.2013
1-2||Wilhelm Nielsen|1|24|21|87.5|0|5.4|St. Louis|stl|29010523|60||nas|13.01.2013
1-2||Denis Možucha|1|39|37|94.9|0|6.7|Anaheim|ana|29627564|60||cgy|13.01.2013
