ana|65739100|62030|10|36175413|31662|5|
wpg|88450822|84277|14|21724600|19688|3|
bos|5859000|9300|2|45247930|54420|11|
buf|17730600|26651|6|31790434|41762|9|
cgy|0|0|0|47709682|52191|12|
car|66231950|69079|10|68485819|58843|10|
chi|40228033|54072|10|29415100|29017|5|
col|101808750|81447|15|15244850|12639|2|
cbj|32238765|34044|7|28439652|31006|6|
dal|7412300|17651|6|32841938|31549|7|
det|78680838|82469|14|46963858|44625|7|
edm|8136670|10644|4|42061375|48008|9|
fla|148863750|119091|19|0|0|0|
lak|5275800|8793|2|48113800|52816|11|
min|71005000|71256|11|36931678|34367|6|
mtl|8145865|17903|5|43093831|44005|8|
nas|22764750|22389|5|45153380|54132|10|
njd|68895065|46360|11|13508800|13448|2|
ott|27536500|37987|8|18629240|24974|5|
phi|14093300|21682|4|56475413|57961|11|
phx|33571902|35819|9|24046712|21500|4|
pit|16617890|19952|5|44975040|46999|10|
nyi|13369256|21860|5|59076191|57127|10|
nyr|10827450|18894|5|35068572|38791|8|
sjs|79916932|69178|13|38852760|36183|6|
stl|67595400|75106|11|20420220|19292|4|
tbl|2528000|3160|1|47786710|50934|12|
tor|11611840|22672|6|57485837|56635|11|
van|1154000|2885|1|46276697|54691|12|
was|7232758|7582|2|49123554|53960|11|

