ana|98043318|79653|15|31357844|26387|4|
atl|37650086|39484|7|95714007|81257|14|
bos|0|0|0|35409750|46982|13|
buf|3591600|5986|2|41694224|45551|11|
cgy|1530550|2928|2|41065437|43561|11|
car|60346500|64049|11|34661026|36565|6|
chi|34641770|46240|8|44611980|40153|7|
col|137640000|110112|18|19032068|15081|3|
cbj|26954125|23349|6|44445570|43299|7|
dal|5465800|12776|4|37722813|40311|9|
det|53735430|56282|11|36651815|31592|6|
edm|2914395|8344|2|41412786|47636|11|
fla|105390259|81582|15|0|0|0|
lak|10755905|16929|4|43017017|46539|9|
min|40740900|52545|8|37865717|35593|7|
mtl|7048860|15492|4|47422636|55359|11|
nas|13137040|12978|3|65758028|66635|12|
njd|130890536|90304|18|6119874|6126|1|
ott|18213350|25380|6|26053101|30721|7|
phi|27479870|42686|7|27290655|32897|8|
phx|38360400|31967|9|17872084|17497|4|
pit|15865300|32575|10|12448585|11598|3|
nyi|9895252|16051|3|48781835|57537|12|
nyr|4826950|8885|5|27086984|35003|8|
sjs|41852952|47929|10|30643330|27942|5|
stl|86416200|96018|14|19423220|17631|3|
tbl|12088000|15110|4|45274550|48257|9|
tor|14317800|29220|9|42045040|41289|8|
van|27360874|27046|7|32479154|29918|6|
was|8175839|13824|3|41968731|46807|10|

