ana|56|2|516|217|299|15.50|88.94|1.85|55.76|24|9|3|1|21|80|26.25|8|47|82.98|-------------|80|24|416|746|13|pacific|
atl|38|5|435|250|185|12.18|94.00|1.15|56.74|14|8|1|1|18|75|24.00|1|50|98.00|-------------|53|15|362|638|13|southeast|
bos|-17|2|277|417|-140|9.39|89.69|3.31|48.58|2|2|2|0|7|53|13.21|8|61|86.89|-------------|26|43|341|702|13|northeast|
buf|-45|1|259|474|-215|7.72|86.29|5.00|41.81|11|4|0|4|6|53|11.32|27|71|61.97|-------------|20|65|286|684|13|northeast|
cgy|-53|0|217|499|-282|11.06|84.57|5.92|39.79|5|6|3|2|2|37|5.41|20|79|74.68|-------------|24|77|269|676|13|northwest|
car|45|4|441|268|173|17.69|87.69|2.54|60.62|29|10|3|3|14|60|23.33|9|61|85.25|-------------|78|33|431|711|13|southeast|
chi|24|3|441|312|129|12.02|90.71|2.23|54.68|11|9|2|0|20|82|24.39|10|55|81.82|-------------|53|29|368|673|13|central|
col|65|3|463|248|215|18.14|92.34|1.46|56.58|30|15|1|0|26|76|34.21|5|44|88.64|-------------|84|19|357|631|13|northwest|
cbj|-121|0|111|627|-516|2.70|80.22|9.54|27.71|0|1|0|7|3|45|6.67|32|73|56.16|-------------|3|124|192|693|13|central|
dal|-35|0|290|448|-158|11.03|85.04|5.15|39.88|6|7|4|0|10|52|19.23|23|86|73.26|-------------|32|67|262|657|13|pacific|
det|40|4|429|298|131|17.02|88.93|2.54|55.98|30|10|1|1|18|61|29.51|14|63|77.78|-------------|73|33|393|702|13|central|
edm|-78|0|241|516|-275|8.30|81.01|7.54|42.90|0|1|1|9|7|60|11.67|21|58|63.79|-------------|20|98|299|697|13|northwest|
fla|58|5|498|223|275|13.65|95.52|0.77|58.39|16|5|3|0|16|46|34.78|8|62|87.10|-------------|68|10|400|685|13|southeast|
lak|-58|0|300|466|-166|11.00|80.47|7.00|42.15|6|6|1|10|10|68|14.71|21|57|63.16|-------------|33|91|274|650|13|pacific|
min|-20|1|341|392|-51|11.44|84.95|4.54|45.54|11|6|4|2|11|53|20.75|16|65|75.38|-------------|39|59|301|661|13|northwest|
mtl|14|5|470|287|183|8.72|90.59|2.08|57.55|19|2|2|1|14|70|20.00|2|39|94.87|-------------|41|27|385|669|13|northeast|
nas|0|2|355|411|-56|11.55|90.02|3.15|51.21|16|3|0|0|16|56|28.57|12|58|79.31|-------------|41|41|359|701|13|central|
njd|71|2|501|247|254|19.56|89.07|2.08|56.19|28|12|7|2|29|81|35.80|9|48|81.25|-------------|98|27|363|646|13|atlantic|
ott|46|1|415|244|171|15.66|92.21|1.58|54.00|26|3|2|0|19|64|29.69|6|52|88.46|-------------|65|19|351|650|12|atlantic|
phi|36|3|429|310|119|16.32|89.03|2.62|56.33|15|13|5|1|11|56|19.64|14|75|81.33|-------------|70|34|325|577|13|atlantic|
phx|61|6|501|238|263|15.77|92.44|1.38|63.35|24|10|2|1|17|67|25.37|5|60|91.67|-------------|79|18|446|704|13|northeast|
pit|-22|3|361|383|-22|8.31|86.42|4.00|44.60|6|6|3|3|5|48|10.42|18|81|77.78|-------------|30|52|293|657|13|atlantic|
nyi|48|4|467|269|198|15.63|90.71|1.92|65.02|27|8|1|1|19|69|27.54|11|50|78.00|-------------|73|25|474|729|13|pacific|
nyr|-87|0|199|524|-325|7.04|80.73|7.77|36.05|5|0|1|2|4|44|9.09|19|77|75.32|-------------|14|101|239|663|13|atlantic|
sjs|8|2|328|297|31|12.50|88.89|2.75|49.17|10|11|1|0|20|68|29.41|12|47|74.47|-------------|41|33|297|604|12|pacific|
stl|36|4|441|315|126|16.55|88.25|2.85|55.01|11|8|7|2|22|61|36.07|11|65|83.08|-------------|73|37|357|649|13|central|
tbl|-68|1|169|555|-386|5.33|86.13|5.92|34.95|0|0|1|3|3|41|7.32|18|74|75.68|-------------|9|77|245|701|13|southeast|
tor|11|3|376|353|23|12.50|89.80|2.77|49.25|10|5|1|1|10|65|15.38|10|50|80.00|-------------|47|36|296|601|13|northeast|
van|8|6|363|355|8|12.40|89.58|2.85|58.32|18|7|1|2|18|79|22.78|9|53|83.02|-------------|45|37|410|703|13|northwest|
was|-61|0|280|471|-191|10.36|80.89|6.92|40.29|7|4|1|5|9|59|15.25|26|68|61.76|-------------|29|90|253|628|13|southeast|

