ana|8699844|10223|3|42811926|46623|10|
wpg|0|0|0|96542664|85858|13|
bos|30153600|33504|6|59776475|56446|11|
buf|28609078|34496|8|34284515|34601|7|
cgy|26588421|27628|6|71033068|75033|13|
car|0|0|0|41004679|52105|13|
chi|39866016|50325|9|34441361|29583|6|
col|24271750|28555|6|28385300|31741|7|
cbj|44709891|41434|9|29580354|31220|6|
dal|12215980|19797|5|47591308|54975|10|
det|122761614|84551|16|6884900|6259|1|
edm|9484300|11158|4|37457831|37859|8|
fla|20527315|25949|5|37340860|41569|8|
lak|36358390|51209|9|43594325|40695|8|
min|78533400|71394|11|13030700|11411|2|
mtl|45678800|44044|10|25587292|27437|5|
nas|21314946|31596|6|31196015|33653|7|
njd|8173216|10152|4|39114782|41346|9|
ott|5272400|7532|2|44830865|50079|10|
phi|0|0|0|47511229|50211|13|
phx|9546608|9063|2|79688228|66726|13|
pit|11225500|22451|6|36290679|37134|7|
nyi|25668960|32288|6|43456865|45861|9|
nyr|64634553|51488|11|56252717|57269|10|
sjs|31678400|24368|9|20034453|19766|4|
stl|106377300|118197|18|17754103|14901|3|
tbl|13089347|13145|3|56223800|56015|12|
tor|45846000|54189|11|45748614|45379|8|
van|0|0|0|43466912|49790|13|
was|100270797|80275|16|8041000|7310|1|

