1-2||Hugo Kukučiak|1|15|12|80|0|4.3|Minnesota|min|21342258|20.7833333333||wpg|29.04.2012
2-2||Gustavs Kļaviņš|1|19|16|84.2|0|4.7|Minnesota|min|18200201|39.2166666667||wpg|29.04.2012
1-2||Emidio Sabadini|1|22|21|95.5|0|5.7|Winnipeg|wpg|19302689|60||min|29.04.2012
1-2||Emidio Sabadini|1|35|34|97.1|0|6.7|Winnipeg|wpg|19302689|60||min|28.04.2012
1-2||Hugo Kukučiak|1|20|20|100|1|5.9|Minnesota|min|21342258|60||wpg|28.04.2012
1-1||Marin Bakalov|1|24|17|70.8|0|3.9|Carolina|car|19339743|60||wpg|22.04.2012
1-2||Gustavs Kļaviņš|1|35|34|97.1|0|7.0|Minnesota|min|18200201|60||wpg|22.04.2012
1-2||Emidio Sabadini|1|30|29|96.7|0|6.5|Winnipeg|wpg|19302689|60||car|22.04.2012
2-2||Loic Lefevre|1|31|29|93.5|0|6.0|Winnipeg|wpg|18517170|60||min|22.04.2012
1-2||Emidio Sabadini|1|35|35|100|1|7.3|Winnipeg|wpg|19302689|60||car|21.04.2012
1-2||Loic Lefevre|1|25|22|88|0|5.2|Colorado|col|18517170|60||min|21.04.2012
1-1||Marin Bakalov|1|24|22|91.7|0|5.6|Carolina|car|19339743|60||wpg|21.04.2012
1-2||Hugo Kukučiak|1|28|28|100|1|6.5|Minnesota|min|21342258|60||col|21.04.2012
1-2||Wilhelm Olofsson|1|34|31|91.2|0|6.2|Florida|fla|16477287|60||car|15.04.2012
1-2||Emidio Sabadini|1|32|28|87.5|0|5.9|Winnipeg|wpg|19302689|60||bos|15.04.2012
1-2||Hugo Kukučiak|1|36|34|94.4|0|6.9|Minnesota|min|21342258|60||det|15.04.2012
1-2||Loic Lefevre|1|24|23|95.8|0|6.0|Colorado|col|18517170|60||phx|15.04.2012
1-1||Marin Bakalov|1|18|16|88.9|0|5.0|Carolina|car|19339743|60||fla|15.04.2012
1-2||Yuriy Bakhvalov|1|32|26|81.3|0|5.1|Boston|bos|28500438|60||wpg|15.04.2012
1-2||Vincenzo Benini|1|29|24|82.8|0|5.0|Detroit|det|18159167|60||min|15.04.2012
1-2||Valio Wendelin|1|26|23|88.5|0|5.3|Phoenix|phx|27529605|60||col|15.04.2012
1-1||Marin Bakalov|1|23|19|82.6|0|4.9|Carolina|car|19339743|60||fla|14.04.2012
1-2||Emidio Sabadini|1|11|11|100|1|5.0|Winnipeg|wpg|19302689|60||bos|14.04.2012
1-2||Vincenzo Benini|1|29|26|89.7|0|5.6|Detroit|det|18159167|60||min|14.04.2012
1-2||Loic Lefevre|1|21|18|85.7|0|5.0|Colorado|col|18517170|60||phx|14.04.2012
1-2||Wilhelm Olofsson|1|43|36|83.7|0|5.7|Florida|fla|16477287|60||car|14.04.2012
1-1||Yuriy Bakhvalov|1|47|39|83|0|5.9|Boston|bos|28500438|60||wpg|14.04.2012
1-2||Hugo Kukučiak|1|31|29|93.5|0|6.4|Minnesota|min|21342258|60||det|14.04.2012
1-2||Valio Wendelin|1|44|40|90.9|0|6.6|Phoenix|phx|27529605|60||col|14.04.2012
1-2||Marin Bakalov|1|11|10|90.9|0|4.9|Carolina|car|19339743|60||tbl|08.04.2012
1-1||Aleksandrs Repše|1|27|25|92.6|0|5.6|Montreal|mtl|16431452|60||bos|08.04.2012
1-2||Wilhelm Olofsson|1|29|24|82.8|0|5.2|Florida|fla|16477287|60||nyi|08.04.2012
1-2||Michel Meili|1|19|18|94.7|0|5.6|Winnipeg|wpg|17152958|60||was|08.04.2012
1-2||Vincenzo Benini|1|14|14|100|1|5.3|Detroit|det|18159167|60||chi|08.04.2012
1-2||Loic Lefevre|1|13|13|100|1|5.2|Colorado|col|18517170|60||stl|08.04.2012
1-2||Adam Miček|1|35|32|91.4|0|6.2|LA Kings|lak|26049920|60||phx|08.04.2012
1-2||Hugo Kukučiak|1|10|10|100|0|5.1|Minnesota|min|21342258|30.5||cgy|08.04.2012
2-2||Gustavs Kļaviņš|1|7|7|100|0|4.8|Minnesota|min|18200201|29.5||cgy|08.04.2012
1-2||Esa Nyyssölä|1|25|21|84|0|5.1|Tampa Bay|tbl|23446864|25.3833333333||car|08.04.2012
2-2||Gatis Pakalns|1|26|22|84.6|0|5.0|Tampa Bay|tbl|27990891|34.6166666667||car|08.04.2012
1-2||Yuriy Bakhvalov|1|31|31|100|1|7.0|Boston|bos|28500438|60||mtl|08.04.2012
1-2||Yaroslav Belyakov|1|30|23|76.7|0|4.5|NY Islanders|nyi|26900028|60||fla|08.04.2012
1-2||Otto Tommila|1|9|5|55.6|0|3.6|Washington|was|18265448|13.9166666667||wpg|08.04.2012
2-2||Rafael Zahnd|1|21|18|85.7|0|5.0|Washington|was|26905564|46.0833333333||wpg|08.04.2012
1-2||Hans-Erik Nørgaard|1|36|28|77.8|0|4.9|Chicago|chi|21156671|60||det|08.04.2012
1-2||Grigorijs Āpsītis|1|44|38|86.4|0|6.1|St. Louis|stl|16223258|60||col|08.04.2012
1-2||Valio Wendelin|1|26|25|96.2|0|6.2|Phoenix|phx|27529605|60||lak|08.04.2012
1-2||Bazylis Bobel|1|12|9|75|0|4.2|Calgary|cgy|19525403|13.5833333333||min|08.04.2012
2-2||Glenn Clark|1|26|26|100|0|6.1|Calgary|cgy|24711743|46.4166666667||min|08.04.2012
1-2||Marin Bakalov|1|13|11|84.6|0|4.8|Carolina|car|19339743|60||tbl|07.04.2012
1-2||Yuriy Bakhvalov|1|25|23|92|0|5.6|Boston|bos|28500438|60||mtl|07.04.2012
1-2||Wilhelm Olofsson|1|21|20|95.2|0|5.7|Florida|fla|16477287|60||nyi|07.04.2012
1-2||Vincenzo Benini|1|20|19|95|0|5.6|Detroit|det|18159167|60||chi|07.04.2012
1-2||Loic Lefevre|1|14|12|85.7|0|4.9|Colorado|col|18517170|60||stl|07.04.2012
1-2||Valio Wendelin|1|29|25|86.2|0|5.3|Phoenix|phx|27529605|60||lak|07.04.2012
1-2||Bazylis Bobel|1|29|28|96.6|0|6.1|Calgary|cgy|19525403|60||min|07.04.2012
1-2||Esa Nyyssölä|1|23|19|82.6|0|4.7|Tampa Bay|tbl|23446864|35.4166666667||car|07.04.2012
2-2||Gatis Pakalns|1|13|10|76.9|0|4.2|Tampa Bay|tbl|27990891|24.5833333333||car|07.04.2012
1-1||Lukáš Mašek|1|24|23|95.8|0|6.0|Montreal|mtl|20418978|60||bos|07.04.2012
1-2||Yaroslav Belyakov|1|31|24|77.4|0|4.7|NY Islanders|nyi|26900028|60||fla|07.04.2012
2-2|||1||||1||NY Islanders|nyi|@_jscript_version < 5.7 @*/) // ie6|60||fla|07.04.2012
1-2||Hans-Erik Nørgaard|1|39|36|92.3|0|6.5|Chicago|chi|21156671|60||det|07.04.2012
1-2||Grigorijs Āpsītis|1|41|38|92.7|0|6.6|St. Louis|stl|16223258|60||col|07.04.2012
1-2||Adam Miček|1|24|21|87.5|0|5.5|LA Kings|lak|26049920|60||phx|07.04.2012
1-2||Hugo Kukučiak|1|9|9|100|0|4.9|Minnesota|min|21342258|30.55||cgy|07.04.2012
2-2||Gustavs Kļaviņš|1|12|12|100|0|5.1|Minnesota|min|18200201|29.45||cgy|07.04.2012
1-2||Jonatán Pichlač|1|23|22|95.7|0|5.7|Toronto|tor|16825202|60|||01.04.2012
1-2||Yuriy Bakhvalov|1|16|14|87.5|0|5.0|Boston|bos|28500438|60||buf|01.04.2012
1-1||Iľja Dekan|1|34|31|91.2|0|6.0|Anaheim|ana|29324604|60||dal|01.04.2012
1-2||Valio Wendelin|1|17|17|100|1|5.7|Phoenix|phx|27529605|60||lak|01.04.2012
1-2||Elis Grubač|1|14|10|71.4|0|4.1|San Jose|sjs|30839050|15.75||ott|01.04.2012
2-2||Patrick Zentriegen|1|31|29|93.5|0|6.1|San Jose|sjs|14045151|44.25||ott|01.04.2012
1-2||Loic Lefevre|1|25|21|84|0|5.0|Colorado|col|18517170|60||nyi|01.04.2012
1-2||Hugo Kukučiak|1|8|7|87.5|0|4.5|Minnesota|min|21342258|30.3666666667||pit|01.04.2012
2-2||Gustavs Kļaviņš|1|6|6|100|0|4.5|Minnesota|min|18200201|29.6333333333||pit|01.04.2012
1-2||Viesturs Zalcmanis|1|24|21|87.5|0|5.4|NY Rangers|nyr|27544641|60||van|01.04.2012
1-2||Albrecht Pampúch|1|47|39|83|0|5.8|NJ Devils|njd|29535297|47.4666666667||cgy|01.04.2012
2-2||František Miškanin|1|14|13|92.9|0|4.8|NJ Devils|njd|29565349|12.5333333333||cgy|01.04.2012
1-2||Malthe Mølgaard|1|36|33|91.7|0|6.2|Philadelphia|phi|28335498|60||edm|01.04.2012
1-2||Reinis Baltrausis|1|42|36|85.7|0|5.9|St. Louis|stl|20210989|60||car|01.04.2012
1-2||Jakub Činčura|1|18|17|94.4|0|5.3|Winnipeg|wpg|29325815|60||chi|01.04.2012
