ana|-12|2|297|443|-146|8.75|91.42|2.92|44.20|6|4|3|3|4|74|5.41|8|48|83.33|-------------|26|38|297|672|13|pacific|
wpg|-55|0|210|525|-315|13.81|84.00|6.46|45.54|10|5|4|1|7|36|19.44|12|85|85.88|-------------|29|84|291|639|13|southeast|
bos|31|4|468|275|193|13.03|89.09|2.31|55.54|18|7|5|2|9|60|15.00|10|67|85.07|-------------|61|30|376|677|13|northeast|
buf|12|1|433|315|118|14.32|84.13|3.85|54.21|19|5|1|3|10|58|17.24|10|64|84.38|-------------|62|50|341|629|13|northeast|
cgy|66|5|530|188|342|15.85|90.43|1.38|57.52|24|12|5|0|10|62|16.13|3|45|93.33|-------------|84|18|409|711|13|northwest|
car|-62|1|273|436|-163|5.86|82.11|6.00|48.17|3|3|0|3|3|38|7.89|23|76|69.74|-------------|16|78|315|654|13|southeast|
chi|24|5|381|318|63|12.60|92.45|1.85|54.43|17|6|3|2|10|43|23.26|9|89|89.89|-------------|48|24|393|722|13|central|
col|2|1|371|343|28|10.51|89.21|2.85|47.99|9|6|3|3|9|69|13.04|5|67|92.54|-------------|39|37|323|673|13|northwest|
cbj|31|2|466|263|203|13.30|88.21|2.38|53.79|25|6|6|1|10|66|15.15|8|66|87.88|-------------|62|31|355|660|13|central|
dal|0|3|384|372|12|6.51|93.28|1.92|36.24|3|2|2|1|8|55|14.55|9|62|85.48|-------------|25|25|266|734|13|pacific|
det|62|5|451|265|186|20.62|88.30|2.38|52.64|31|15|4|2|26|95|27.37|5|53|90.57|-------------|93|31|389|739|13|central|
edm|-63|1|252|414|-162|5.16|81.64|6.33|45.85|3|2|0|7|4|60|6.67|12|53|77.36|-------------|13|76|282|615|12|northwest|
fla|-19|1|352|363|-11|8.52|86.50|3.77|49.64|7|6|0|4|7|77|9.09|12|49|75.51|-------------|30|49|340|685|13|southeast|
lak|58|5|533|268|265|15.38|91.04|1.85|62.83|29|9|2|2|25|90|27.78|1|40|97.50|-------------|82|24|426|678|13|pacific|
min|-85|0|197|547|-350|6.60|82.08|7.54|44.83|4|0|0|3|3|48|6.25|21|70|70.00|-------------|13|98|312|696|13|northwest|
mtl|46|4|465|258|207|14.62|91.47|1.69|52.22|7|11|5|1|14|67|20.90|9|68|86.76|-------------|68|22|364|697|13|northeast|
nas|4|3|339|423|-84|10.62|92.43|2.46|50.68|8|5|2|1|6|42|14.29|8|80|90.00|-------------|36|32|373|736|13|central|
njd|-59|0|245|498|-253|4.90|85.74|5.46|47.64|3|2|1|2|1|71|1.41|14|55|74.55|-------------|12|71|333|699|13|atlantic|
ott|-17|2|317|390|-73|7.89|89.23|3.50|43.01|5|4|0|3|5|55|9.09|4|60|93.33|-------------|25|42|249|579|12|atlantic|
phi|-95|0|162|607|-445|3.70|83.36|7.77|36.96|0|1|0|6|2|62|3.23|24|72|66.67|-------------|6|101|265|717|13|atlantic|
phx|19|6|423|346|77|12.29|90.46|2.54|53.09|15|7|1|1|13|66|19.70|8|55|85.45|-------------|52|33|344|648|13|northeast|
pit|-26|1|311|385|-74|7.72|87.01|3.85|54.88|2|6|1|3|5|51|9.80|14|89|84.27|-------------|24|50|360|656|13|atlantic|
nyi|-10|2|371|376|-5|12.67|84.84|4.38|46.20|11|9|2|2|17|61|27.87|17|67|74.63|-------------|47|57|310|671|13|pacific|
nyr|52|3|559|189|370|12.70|89.95|1.46|57.16|14|17|1|0|19|89|21.35|3|43|93.02|-------------|71|19|411|719|13|atlantic|
sjs|-71|0|116|625|-509|9.48|86.88|6.31|36.70|2|2|1|4|3|39|7.69|14|83|83.13|-------------|11|82|240|654|13|pacific|
stl|36|3|356|336|20|15.73|94.05|1.54|51.45|15|6|3|2|15|72|20.83|8|60|86.67|-------------|56|20|391|760|13|central|
tbl|29|4|427|333|94|13.35|91.59|2.15|56.36|24|7|2|1|15|75|20.00|6|43|86.05|-------------|57|28|368|653|13|southeast|
tor|37|3|452|305|147|14.82|90.16|2.31|55.24|29|5|3|0|15|65|23.08|12|68|82.35|-------------|67|30|332|601|13|northeast|
van|4|2|311|411|-100|11.90|91.97|2.54|47.92|7|6|0|0|7|63|11.11|4|43|90.70|-------------|37|33|299|624|13|northwest|
was|61|5|546|181|365|14.47|90.06|1.38|56.47|16|6|4|1|14|62|22.58|3|51|94.12|-------------|79|18|393|696|13|southeast|

