ana|58|5|513|209|304|14.23|92.82|1.15|63.83|24|6|2|0|24|75|32.00|3|37|91.89|-------------|73|15|427|669|13|
atl|19|3|358|335|23|12.57|92.24|2.00|49.13|11|10|1|3|12|56|21.43|9|62|85.48|-------------|45|26|311|633|13|
bos|-26|0|256|464|-208|10.55|88.58|4.08|46.62|9|5|1|4|3|43|6.98|8|54|85.19|-------------|27|53|338|725|13|
buf|-20|1|304|383|-79|7.89|88.51|3.38|44.82|2|2|3|2|8|66|12.12|7|46|84.78|-------------|24|44|268|598|13|
cgy|26|1|367|327|40|13.08|93.27|1.69|55.16|9|8|1|0|21|68|30.88|5|52|90.38|-------------|48|22|369|669|13|
car|56|5|499|211|288|14.23|92.89|1.15|59.75|24|12|2|1|16|78|20.51|7|55|87.27|-------------|71|15|383|641|13|
chi|-62|0|209|566|-357|7.66|86.22|6.00|46.56|3|0|0|2|6|58|10.34|23|73|68.49|-------------|16|78|352|756|13|
col|66|5|491|219|272|16.29|93.61|1.08|58.97|28|6|2|0|20|80|25.00|3|38|92.11|-------------|80|14|414|702|13|
cbj|-7|2|328|383|-55|12.50|87.47|3.69|45.76|24|3|2|4|6|54|11.11|11|59|81.36|-------------|41|48|313|684|13|
dal|-76|0|261|527|-266|4.60|83.30|6.77|30.53|0|3|0|1|4|33|12.12|30|92|67.39|-------------|12|88|203|665|13|
det|25|4|422|326|96|12.56|91.41|2.15|55.81|16|13|3|1|10|39|25.64|11|74|85.14|-------------|53|28|384|688|13|
edm|11|3|440|299|141|9.32|89.97|2.31|56.38|9|8|2|0|12|66|18.18|12|64|81.25|-------------|41|30|402|713|13|
fla|67|7|503|225|278|17.10|91.56|1.46|57.16|27|11|3|1|18|54|33.33|3|58|94.83|-------------|86|19|407|712|13|
lak|9|2|334|316|18|12.87|89.24|2.62|50.52|13|3|2|4|11|64|17.19|5|41|87.80|-------------|43|34|342|677|13|
min|-59|1|258|489|-231|8.14|83.64|6.15|36.00|5|1|1|0|6|40|15.00|16|66|75.76|-------------|21|80|225|625|13|
mtl|2|4|358|386|-28|8.66|92.49|2.23|53.07|3|1|3|2|9|57|15.79|7|49|85.71|-------------|31|29|363|684|13|
nas|-3|0|335|377|-42|11.34|89.12|3.15|46.36|4|7|1|1|12|60|20.00|11|52|78.85|-------------|38|41|306|660|13|
njd|34|3|387|332|55|16.80|90.66|2.38|54.62|22|8|4|1|15|66|22.73|9|56|83.93|-------------|65|31|384|703|13|
ott|45|4|585|200|385|11.11|90.00|1.54|57.75|19|6|2|5|15|65|23.08|6|48|87.50|-------------|65|20|369|639|13|
phi|-111|0|153|615|-462|5.88|80.49|9.23|24.66|0|0|2|4|2|47|4.26|27|66|59.09|-------------|9|120|164|665|13|
phx|8|2|268|398|-130|12.31|93.72|1.92|45.19|14|7|0|1|13|60|21.67|7|66|89.39|-------------|33|25|310|686|13|
pit|-59|1|218|496|-278|5.05|85.89|5.38|39.74|3|1|3|1|3|36|8.33|14|83|83.13|-------------|11|70|242|609|13|
nyi|-82|1|199|480|-281|3.52|81.46|6.85|37.13|0|0|0|6|2|74|2.70|22|63|65.08|-------------|7|89|254|684|13|
nyr|-34|2|422|313|109|7.82|78.59|5.15|50.20|2|4|2|1|7|51|13.73|28|89|68.54|-------------|33|67|372|741|13|
sjs|-1|0|328|362|-34|10.98|89.78|2.85|55.14|4|4|1|1|14|61|22.95|18|66|72.73|-------------|36|37|338|613|13|
stl|24|3|443|309|134|11.74|90.94|2.15|56.43|4|6|2|0|14|60|23.33|12|73|83.56|-------------|52|28|360|638|13|
tbl|30|3|351|344|7|16.81|91.57|2.23|54.23|22|6|0|1|18|63|28.57|8|59|86.44|-------------|59|29|385|710|13|
tor|5|1|384|358|26|9.90|90.78|2.54|52.48|10|7|5|0|9|65|13.85|10|56|82.14|-------------|38|33|307|585|13|
van|43|1|497|256|241|14.29|89.06|2.15|57.08|21|11|1|1|15|68|22.06|6|46|86.96|-------------|71|28|395|692|13|
was|12|3|382|336|46|13.61|88.10|3.08|54.53|17|9|0|2|22|81|27.16|9|46|80.43|-------------|52|40|373|684|13|

