ana|27|1|405|262|143|14.07|88.55|2.5|55.92|32|6|1|1|16|71|22.74|8|45|82.22
atl|-31|0|304|378|-74|6.58|86.51|4.25|44.22|4|6|1|3|4|42|9.52|8|58|86.21
bos|11|4|317|326|-9|11.67|92.02|2.17|54.33|14|9|2|0|10|54|18.52|4|54|92.59
buf|-20|0|368|320|48|9.78|82.5|4.67|45.3|14|5|1|2|13|87|14.94|15|54|72.22
cgy|44|4|405|279|126|16.79|91.4|2|54.99|31|11|2|1|24|65|36.92|5|48|89.58
car|-57|0|239|461|-222|5.44|84.82|5.83|42.88|4|2|0|4|1|48|2.08|13|62|79.03
chi|-2|1|307|376|-69|12.05|89.63|3.25|44.94|10|4|0|1|6|73|8.22|6|42|85.71
col|12|0|333|319|14|13.21|89.97|2.67|44.52|15|4|2|1|16|78|20.51|11|41|73.17
cbj|-33|1|242|441|-199|9.92|87.07|4.75|46.36|10|6|0|4|8|60|13.33|8|50|84
dal|-84|0|177|480|-303|7.35|79.79|8.08|48.49|8|2|1|2|5|41|12.2|26|73|64.38
det|56|2|462|212|250|15.58|92.45|1.33|61.67|29|12|6|0|12|54|22.22|1|56|98.21
edm|55|4|456|215|241|15.79|92.09|1.42|57.06|19|9|0|0|23|69|33.33|4|55|92.73
fla|40|4|444|249|195|11.94|94.78|1.08|58.88|20|8|3|1|10|56|17.86|8|60|86.67
lak|-20|0|279|383|-104|11.11|86.68|4.25|45.69|10|6|0|3|18|64|28.13|13|62|79.03
min|0|1|412|298|114|8.74|87.92|3|49.86|19|7|2|1|15|66|22.79|13|55|76.36
mtl|-16|2|302|361|-59|7.95|88.92|3.33|54.06|6|5|1|3|4|60|6.67|12|63|80.95
nas|52|2|459|197|262|15.03|91.37|1.42|57.56|35|10|2|0|14|58|24.14|9|57|84.21
njd|-82|0|199|532|-333|3.52|83.27|7.42|39.23|0|1|0|4|3|44|6.82|23|75|69.33
ott|84|8|491|178|313|18.33|96.63|0.5|59.39|52|15|1|0|28|73|38.36|2|49|95.92
phi|10|1|343|340|3|15.74|87.06|3.67|50.16|24|7|1|5|8|63|12.7|16|67|76.12
phx|-18|2|271|398|-127|8.86|89.45|3.5|48.5|5|2|1|1|6|46|13.04|9|53|83.02
pit|-39|0|191|436|-245|11.52|86.01|5.08|34.15|8|4|2|0|4|59|6.78|11|46|76.09
nyi|26|3|379|286|93|13.98|90.56|2.13|58.11|23|11|3|2|13|52|25|9|65|86.15
nyr|-4|2|285|392|-107|10.88|91.07|2.92|54.05|5|4|3|0|7|46|15.22|11|75|85.33
sjs|9|3|391|239|152|8.44|89.96|2|52.82|12|5|1|1|11|69|15.94|17|62|72.58
stl|18|2|421|289|132|11.4|89.62|2.5|52.21|11|8|5|0|11|41|26.83|12|78|84.62
tbl|-1|1|330|385|-55|12.12|89.35|3.42|48.35|17|2|2|2|10|52|19.23|12|70|82.86
tor|-28|2|294|386|-92|5.78|88.34|3.75|45.48|8|6|2|1|1|43|2.33|12|68|82.35
van|5|1|324|381|-57|12.35|90.81|2.92|49.48|5|7|1|2|13|53|24.53|13|61|78.69
was|-14|2|317|348|-31|7.89|88.79|3.21|49.5|3|3|1|1|7|61|11.48|11|44|75
