ana|-96|0|161|512|-351|4.97|79.69|8.00|34.42|0|0|0|6|4|61|6.56|24|61|60.66|-------------|8|104|201|584|13|pacific|
wpg|52|3|476|272|204|16.18|90.81|1.92|62.57|35|7|7|0|17|55|30.91|13|71|81.69|-------------|77|25|428|684|13|southeast|
bos|38|1|391|322|69|16.88|91.30|2.15|58.01|19|8|1|0|21|74|28.38|5|49|89.80|-------------|66|28|409|705|13|northeast|
buf|9|3|406|271|135|9.61|88.93|2.31|55.24|15|2|1|1|7|49|14.29|8|64|87.50|-------------|39|30|385|697|13|northeast|
cgy|-35|2|241|487|-246|7.47|89.12|4.08|45.49|4|3|1|2|6|44|13.64|10|71|85.92|-------------|18|53|308|677|13|northwest|
car|67|5|543|205|338|16.39|89.27|1.69|61.60|35|10|3|0|17|55|30.91|8|58|86.21|-------------|89|22|417|677|13|southeast|
chi|23|4|356|356|0|17.13|89.33|2.92|47.51|13|6|5|3|10|60|16.67|11|54|79.63|-------------|61|38|315|663|13|central|
col|48|4|546|195|351|12.82|88.72|1.69|62.27|15|5|3|2|20|96|20.83|7|37|81.08|-------------|70|22|411|660|13|northwest|
cbj|2|4|442|301|141|8.82|87.71|2.85|57.88|13|6|1|1|13|60|21.67|9|50|82.00|-------------|39|37|382|660|13|central|
dal|-9|1|306|392|-86|8.50|91.07|2.69|35.29|1|7|1|1|2|44|4.55|11|77|85.71|-------------|26|35|228|646|13|pacific|
det|72|6|507|230|277|16.96|93.91|1.08|60.45|28|11|0|0|20|63|31.75|6|60|90.00|-------------|86|14|428|708|13|central|
edm|-25|0|316|420|-104|10.13|86.43|4.38|48.31|3|5|1|1|6|63|9.52|17|65|73.85|-------------|32|57|329|681|13|northwest|
fla|61|0|483|275|208|16.98|92.36|1.62|56.06|31|13|1|1|22|57|38.60|6|59|89.83|-------------|82|21|407|726|13|southeast|
lak|-32|1|333|413|-80|9.61|84.50|4.92|50.94|10|6|2|5|16|82|19.51|13|54|75.93|-------------|32|64|297|583|13|pacific|
min|54|6|461|231|230|15.18|93.07|1.23|51.99|28|11|2|0|18|65|27.69|8|70|88.57|-------------|70|16|379|729|13|northwest|
mtl|20|3|429|284|145|10.49|91.20|1.92|58.21|10|6|1|0|17|71|23.94|9|61|85.25|-------------|45|25|404|694|13|northeast|
nas|21|4|382|364|18|14.14|90.93|2.54|55.30|18|8|1|1|18|73|24.66|11|60|81.67|-------------|54|33|381|689|13|central|
njd|-72|0|257|499|-242|5.84|82.57|6.69|41.25|2|3|1|4|6|71|8.45|20|50|60.00|-------------|15|87|297|720|13|atlantic|
ott|-60|1|181|532|-351|7.18|86.28|5.62|30.25|0|2|1|5|3|60|5.00|17|61|72.13|-------------|13|73|222|734|13|atlantic|
phi|-93|0|76|644|-568|3.95|85.09|7.38|26.53|0|0|1|3|1|34|2.94|23|69|66.67|-------------|3|96|182|686|13|atlantic|
phx|-15|1|357|350|7|9.52|86.00|3.77|46.59|10|4|4|1|12|63|19.05|14|65|78.46|-------------|34|49|294|631|13|northeast|
pit|-2|4|376|370|6|10.64|88.65|3.23|54.81|7|8|5|0|12|36|33.33|8|73|89.04|-------------|40|42|370|675|13|atlantic|
nyi|-7|4|377|361|16|9.02|88.64|3.15|48.47|10|4|5|1|3|38|7.89|12|72|83.33|-------------|34|41|349|720|13|pacific|
nyr|12|3|359|351|8|12.81|90.31|2.62|51.39|11|4|1|0|4|50|8.00|11|63|82.54|-------------|46|34|370|720|13|atlantic|
sjs|44|3|425|287|138|18.35|88.15|2.62|54.11|24|11|1|1|20|55|36.36|12|61|80.33|-------------|78|34|382|706|13|pacific|
stl|45|4|421|305|116|14.73|94.43|1.31|52.90|25|10|0|0|29|79|36.71|4|49|91.84|-------------|62|17|410|775|13|central|
tbl|-31|2|306|435|-129|8.50|86.90|4.38|47.51|14|1|0|2|6|62|9.68|15|61|75.41|-------------|26|57|334|703|13|southeast|
tor|53|3|472|253|219|14.41|94.07|1.15|61.62|16|9|3|0|9|58|15.52|3|45|93.33|-------------|68|15|427|693|13|northeast|
van|-124|0|171|611|-440|4.09|78.56|10.08|32.71|0|2|1|12|3|64|4.69|21|62|66.13|-------------|7|131|227|694|13|northwest|
was|-20|1|365|394|-29|11.78|84.01|4.85|47.99|6|4|4|5|10|62|16.13|16|52|69.23|-------------|43|63|310|646|13|southeast|

