ana|-24|2|341|416|-75|9.38|86.54|4.31|44.55|6|6|1|3|5|67|7.46|20|71|71.83|-------------|32|56|319|716|13|pacific|
wpg|45|1|435|294|141|15.86|91.84|1.85|59.63|19|9|3|2|17|66|25.76|6|60|90.00|-------------|69|24|359|602|13|southeast|
bos|50|4|502|246|256|14.94|89.84|1.92|58.48|22|15|4|3|19|79|24.05|8|50|84.00|-------------|75|25|393|672|13|northeast|
buf|-26|1|365|358|7|9.86|82.68|4.77|60.70|4|6|1|3|10|77|12.99|9|47|80.85|-------------|36|62|400|659|13|northeast|
cgy|16|2|436|292|144|9.86|90.75|2.08|55.34|11|6|5|2|10|58|17.24|10|66|84.85|-------------|43|27|373|674|13|northwest|
car|34|1|492|287|205|12.80|89.90|2.23|51.26|20|6|1|2|11|56|19.64|11|72|84.72|-------------|63|29|347|677|13|southeast|
chi|-21|0|283|404|-121|6.71|90.10|3.08|49.78|2|3|0|1|5|56|8.93|9|75|88.00|-------------|19|40|338|679|13|central|
col|7|2|419|347|72|10.50|89.34|2.85|56.83|11|7|1|0|6|57|10.53|13|62|79.03|-------------|44|37|395|695|13|northwest|
cbj|-12|2|379|367|12|8.71|87.74|3.46|51.13|14|5|1|2|3|71|4.23|12|65|81.54|-------------|33|45|340|665|13|central|
dal|-26|0|317|427|-110|6.31|89.23|3.54|46.03|0|5|1|1|6|56|10.71|13|61|78.69|-------------|20|46|319|693|13|pacific|
det|29|2|415|325|90|17.83|86.15|3.46|51.29|31|13|3|3|17|69|24.64|10|60|83.33|-------------|74|45|339|661|13|central|
edm|-52|1|284|451|-167|7.75|83.59|5.69|46.98|7|2|2|9|3|63|4.76|14|55|74.55|-------------|22|74|334|711|13|northwest|
fla|59|3|489|234|255|16.77|90.17|1.77|55.26|33|8|5|0|16|44|36.36|9|73|87.67|-------------|82|23|336|608|13|southeast|
lak|48|3|418|296|122|15.31|94.59|1.23|57.47|19|6|4|1|23|83|27.71|6|49|87.76|-------------|64|16|431|750|13|pacific|
min|46|5|461|252|209|13.67|93.25|1.31|57.00|18|3|3|0|20|68|29.41|5|55|90.91|-------------|63|17|391|686|13|northwest|
mtl|22|2|475|286|189|9.89|91.26|1.92|55.38|3|7|3|0|10|65|15.38|5|62|91.94|-------------|47|25|412|744|13|northeast|
nas|-25|2|339|410|-71|9.44|86.10|4.38|49.15|4|6|2|2|4|61|6.56|13|60|78.33|-------------|32|57|349|710|13|central|
njd|-72|1|185|492|-307|3.78|83.94|6.08|39.55|0|1|0|5|0|51|0.00|13|64|79.69|-------------|7|79|263|665|13|atlantic|
ott|-22|4|329|385|-56|8.81|86.75|3.92|44.19|7|5|2|0|9|48|18.75|15|73|79.45|-------------|29|51|312|706|13|atlantic|
phi|-87|0|122|604|-482|5.74|84.44|7.23|34.30|2|1|1|7|1|56|1.79|22|81|72.84|-------------|7|94|237|691|13|atlantic|
phx|38|1|455|301|154|13.85|91.69|1.92|52.11|25|9|3|2|15|70|21.43|4|43|90.70|-------------|63|25|370|710|13|northeast|
pit|-13|1|241|429|-188|12.45|89.98|3.31|48.89|3|7|6|1|7|44|15.91|7|75|90.67|-------------|30|43|331|677|13|atlantic|
nyi|8|1|390|325|65|13.85|85.85|3.54|47.64|16|4|3|1|8|39|20.51|13|80|83.75|-------------|54|46|333|699|13|pacific|
nyr|36|3|452|300|152|15.71|88.33|2.69|54.40|22|8|0|2|20|72|27.78|10|59|83.05|-------------|71|35|383|704|13|atlantic|
sjs|-82|0|136|575|-439|3.68|84.87|6.69|27.17|0|0|0|3|2|49|4.08|14|65|78.46|-------------|5|87|188|692|13|pacific|
stl|-27|0|214|519|-305|13.55|89.21|4.31|41.23|7|8|0|3|14|70|20.00|9|51|82.35|-------------|29|56|296|718|13|central|
tbl|13|3|381|379|2|12.60|90.77|2.69|53.06|10|12|4|0|11|62|17.74|6|56|89.29|-------------|48|35|356|671|13|southeast|
tor|43|5|439|273|166|17.08|88.28|2.46|51.60|22|10|2|0|18|67|26.87|6|54|88.89|-------------|75|32|354|686|13|northeast|
van|0|3|382|374|8|9.69|90.11|2.85|52.89|6|3|2|3|10|61|16.39|8|54|85.19|-------------|37|37|366|692|13|northwest|
was|-5|2|371|299|72|7.82|88.63|2.62|48.95|2|5|0|2|10|68|14.71|10|55|81.82|-------------|29|34|350|715|13|southeast|
|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-------------|0|0|0|0|0||
|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-------------|0|0|0|0|0||

