ana|95521535|97545|15|24632294|20496|4|
atl|35569034|45666|8|84321889|77686|13|
bos|3596670|5709|2|34232395|46083|11|
buf|25163400|41939|7|36017675|43177|8|
cgy|819700|1171|1|42143216|49561|12|
car|40121900|57317|8|37565560|33107|6|
chi|27337799|40217|9|50369469|40507|8|
col|124717815|101438|18|19554323|16301|3|
cbj|79329495|62265|13|9993416|9817|2|
dal|7118600|18818|6|22449030|28094|7|
det|31873612|34017|7|34677269|31726|6|
edm|6567360|8659|3|40454922|45130|10|
fla|137544754|103087|18|6644346|5367|1|
lak|13954200|23257|5|41426042|44417|10|
min|3392220|8698|3|39935340|41943|9|
mtl|1430975|3145|1|44495319|55708|12|
nas|34044402|33996|9|21245420|23954|6|
njd|76924009|60157|13|25870456|23246|4|
ott|7362100|11591|3|46107689|53082|10|
phi|7624150|13303|3|58832888|63750|12|
phx|63840000|53200|12|5519780|6202|1|
pit|6540000|13080|4|32777119|36964|9|
nyi|87038200|97040|15|14907712|10313|2|
nyr|2278250|3505|1|49410935|56161|12|
sjs|43031340|46038|10|37988710|40425|7|
stl|29528520|35153|6|49884238|48425|9|
tbl|14143916|13838|5|39733230|42665|8|
tor|9997470|20403|6|42115067|49377|9|
van|29136400|28618|7|33144590|27356|6|
was|15366605|24256|6|34464092|36086|7|

