ana|26494856|33778|8|23732309|21586|5|
wpg|120789359|94908|16|32729500|29104|4|
bos|23112100|27970|6|54831058|55327|11|
buf|22234432|25197|6|27513854|29201|7|
cgy|19666773|24238|5|56286802|53558|10|
car|114230826|100563|15|29183756|23105|4|
chi|27481826|33304|7|53651951|50056|8|
col|117780600|84129|17|15228400|13844|2|
cbj|26786323|30761|7|32452778|31957|6|
dal|12160800|30402|9|12222183|16312|4|
det|84709706|76136|13|30886199|24454|4|
edm|5528060|7296|2|45624660|49400|11|
fla|124744075|84128|16|7821000|7110|1|
lak|12660130|19382|4|46747439|47541|11|
min|105689100|96081|15|40430090|32816|6|
mtl|5236595|11509|3|55032562|61181|12|
nas|25532010|28170|6|39320368|34456|7|
njd|28794258|26266|8|31127813|24648|5|
ott|2391200|3416|1|39296983|48330|12|
phi|5578950|8583|2|46148152|46785|11|
phx|27217226|26147|7|44825732|46285|10|
pit|11893500|17215|4|46762047|40882|9|
nyi|6951300|8178|2|74363385|65578|13|
nyr|17962050|22358|6|42443092|33896|7|
sjs|54644130|50106|11|14276500|11486|2|
stl|55827100|62579|9|36452900|32666|6|
tbl|9449367|9993|3|58826985|56737|12|
tor|16571750|25495|6|36453620|37650|7|
van|0|0|0|59383773|59411|13|
was|55210595|43035|10|33273106|25961|4|
|0|0|0|0|0|0|
|0|0|0|0|0|0|

