ana|49|3|453|252|201|15.67|91.27|1.69|57.89|16|9|0|1|27|75|36.00|8|54|85.19
atl|10|2|388|334|54|10.82|90.42|2.46|48.14|3|7|0|3|12|64|18.75|11|70|84.29
bos|1|1|372|337|35|10.22|89.02|2.85|52.07|4|5|4|2|11|59|18.64|11|56|80.36
buf|-25|1|294|446|-152|10.20|87.67|4.23|39.92|4|5|0|1|5|50|10.00|16|69|76.81
cgy|-19|1|276|438|-162|9.78|89.50|3.54|45.69|4|2|1|3|9|56|16.07|12|59|79.66
car|-6|1|339|386|-47|7.38|91.97|2.39|51.29|3|4|0|1|7|51|13.73|7|69|89.86
chi|17|1|415|347|68|13.25|89.05|2.92|58.74|18|4|2|0|8|76|10.53|12|51|58
col|58|5|459|274|185|16.34|93.80|1.31|50.99|26|7|0|0|28|80|35.00|7|54|87.04
cbj|18|4|379|329|50|12.14|91.49|2.15|48.36|14|8|0|3|12|58|20.69|10|61|83.61
dal|51|3|517|250|267|14.31|90.80|1.77|55.33|15|12|0|0|25|70|35.71|3|39|92.31
det|-97|0|217|574|-357|3.69|81.71|8.08|29.18|1|3|0|4|4|52|7.69|20|62|67.74
edm|69|3|534|214|320|16.48|91.12|1.46|65.93|24|7|2|0|13|61|21.31|5|51|90.20
fla|39|5|472|274|198|13.14|91.61|1.77|54.61|7|4|6|0|14|54|25.93|8|71|88.73
lak|-6|2|361|375|-14|12.74|86.13|4.00|48.83|13|4|3|0|9|45|20.00|21|74|71.62
min|13|2|364|348|16|12.91|90.23|2.62|44.13|19|6|2|1|19|64|29.69|11|58|81.03
mtl|-24|1|329|407|-78|6.99|88.45|3.62|50.59|1|4|4|3|2|70|2.86|6|57|89.47
nas|-34|0|313|436|-123|6.71|87.39|4.23|50.67|2|5|2|3|4|54|7.41|10|73|86.30
njd|5|2|351|329|22|11.40|89.36|2.92|50.89|11|4|0|0|8|52|15.38|5|44|88.64
ott|42|2|483|223|260|13.87|88.79|2.08|56.12|16|12|2|0|10|50|20.00|9|49|81.63
phi|-30|2|256|252|-196|14.06|85.40|5.08|42.77|9|8|2|2|8|60|13.33|17|63|73.02
phx|-26|1|216|530|-314|10.65|90.75|3.77|38.93|5|7|0|3|7|64|10.94|7|53|86.79
pit|-41|0|240|492|-252|10.83|86.38|5.15|41.45|4|8|4|1|7|33|21.21|21|85|75.29
nyi|-77|1|207|522|-315|5.80|82.95|6.85|32.24|4|1|0|8|6|76|7.90|15|57|73.68
nyr|-54|0|362|353|-9|5.80|78.75|5.77|57.00|1|3|3|2|4|44|9.09|31|83|62.65
sjs|-20|3|301|429|-128|8.97|89.04|3.62|53.91|8|4|1|2|10|51|19.61|3|59|94.92
stl|48|4|505|225|280|12.87|92.44|1.31|59.59|10|13|3|0|18|74|24.32|5|62|91.94
tbl|43|4|495|225|270|11.92|92.89|1.23|60.39|12|13|1|1|17|70|24.29|4|44|90.91
tor|-28|1|261|474|-213|8.05|89.66|3.77|40.40|8|0|1|2|4|58|6.90|15|66|77.27
van|26|3|439|291|148|12.76|89.69|2.31|57.76|8|11|1|0|13|53|24.53|10|61|83.61
was|-2|1|378|380|-2|11.90|87.63|3.62|55.06|4|3|2|2|15|78|19.23|15|49|69.39
