ana|13187614|15896|4|39705676|40239|9|
wpg|109620700|87260|14|23533464|19751|3|
bos|34929800|38477|9|49416306|48647|10|
buf|22825524|26619|7|25347705|26250|6|
cgy|15401388|16978|4|77196468|72798|13|
car|104165697|84051|13|53283531|49463|8|
chi|28123804|34325|5|51058722|47067|8|
col|20460016|23193|5|59339405|54095|10|
cbj|20405775|21570|5|50655208|46667|8|
dal|19974100|30291|6|34051468|32292|7|
det|110083946|87000|15|0|0|0|
edm|7038850|8281|3|42933565|44511|10|
fla|74208160|52054|10|46691413|41778|7|
lak|24533960|35112|6|52571683|55274|11|
min|135262800|122092|18|20945784|17851|3|
mtl|20005765|36827|9|38498456|34760|6|
nas|14911792|23632|4|64710793|63253|11|
njd|17778226|21499|6|24418081|31231|7|
ott|7198100|10283|3|31845562|36797|10|
phi|0|0|0|42576146|50005|13|
phx|51493162|46650|11|39098354|40049|8|
pit|13771800|21472|6|31759552|34680|7|
nyi|30127654|33529|7|29993689|33343|8|
nyr|32513132|34482|9|29932740|31732|6|
sjs|51780250|45320|12|5989500|5445|1|
stl|74252700|82503|11|15876300|12723|2|
tbl|12045903|13157|3|62812758|55469|10|
tor|36389600|45487|10|30055988|28823|5|
van|991350|2203|1|55035739|63316|14|
was|50614875|42469|8|42681213|35809|5|


