ana|20415200|25519|6|34918444|37595|8|
wpg|8607400|10189|3|51713008|47441|10|
bos|120153200|98752|17|27179500|25969|4|
buf|12090391|11697|3|56054524|56321|12|
cgy|74067964|62892|12|31583575|31557|5|
car|75967287|50720|10|36925988|29405|5|
chi|21787946|27719|6|27510880|32803|7|
col|44942162|51550|9|65950061|71508|12|
cbj|11494100|15588|4|46535815|53889|10|
dal|15003618|27678|6|27415041|30684|7|
det|23450400|25186|7|26364336|22052|5|
edm|8685300|10218|3|37866142|37867|8|
fla|0|0|0|65973564|57825|13|
lak|69795650|85363|12|42889650|42043|7|
min|42679500|46878|9|19184230|15309|3|
mtl|40467670|39289|8|39269600|32823|7|
nas|11454876|16182|5|39266716|44542|9|
njd|10263806|14942|5|36880347|34807|8|
ott|12240200|17486|3|79100114|76413|14|
phi|0|0|0|54342756|54660|13|
phx|12699040|13136|3|34090250|40032|8|
pit|11014750|21071|6|30508524|33026|7|
nyi|26927445|33871|7|26604040|28214|5|
nyr|138345104|92629|17|16511250|13209|2|
sjs|13076700|13843|5|33238817|35846|8|
stl|92489000|92489|15|6258008|10092|2|
tbl|19678668|20668|5|59242841|49684|10|
tor|70376400|58647|10|12466600|12641|3|
van|4839000|9678|3|61026813|59524|12|
was|26445600|32794|7|56513303|47951|10|

