ana|57015893|73783|11|13034756|18777|3|
atl|11243104|19873|4|30599840|44027|8|
bos|12225720|23511|5|20621190|29648|7|
buf|11094300|20530|4|28644784|42014|10|
cgy|1800600|3001|1|26577167|45768|11|
car|38873550|55257|11|30342241|39564|7|
chi|54903750|73205|14|24728656|32841|6|
col|43735850|51703|10|26595070|31351|6|
cbj|11398200|18997|4|26003695|36566|8|
dal|3854200|10210|3|30049086|41007|9|
det|18489870|26082|7|26269430|36927|7|
edm|38617150|59411|10|11660925|16220|4|
fla|73479525|73286|14|8297968|10902|2|
lak|10187840|19592|4|30008396|38642|8|
min|4162860|10674|5|19191910|29413|7|
mtl|4541355|9981|4|34853718|45433|10|
nas|17235631|29177|6|21935630|33674|8|
njd|47623086|57442|14|23447143|31762|6|
ott|28348057|42273|8|28918966|43100|8|
phi|1710000|3420|1|26233536|41916|11|
phx|20450176|27505|6|23992099|30386|6|
pit|8573820|16584|6|17433708|26355|6|
nyi|47964860|70345|12|4371535|6315|2|
nyr|8873415|14931|5|20062525|29160|7|
sjs|20537360|30202|6|39316686|61375|12|
stl|15733060|26930|5|41111515|55533|11|
tbl|41870838|51396|11|10096710|15141|3|
tor|11516960|23504|5|19548210|30813|7|
van|18439333|25975|8|15793394|23212|4|
was|18615400|26987|6|23375274|27925|6|

