ana|36293800|38498|7|38715330|35772|6|
wpg|65876574|56027|9|42013200|40702|6|
bos|13050450|20715|6|47686297|54714|11|
buf|23895280|31120|7|42445320|41042|8|
cgy|3334800|4764|1|43920940|52426|12|
car|95692500|90686|14|46912370|42258|7|
chi|30299117|40119|7|53158660|50177|8|
col|131125000|104900|18|19556926|17648|3|
cbj|55868067|59155|11|21990195|21303|4|
dal|4931200|12328|4|49311644|46598|9|
det|73494850|77363|14|32306849|31287|5|
edm|1655800|1948|1|40829634|49954|12|
fla|141538600|113302|18|7100652|5937|1|
lak|4191000|6985|2|52038851|54098|11|
min|91051200|90054|13|28871950|26913|4|
mtl|11589760|25472|7|35977950|39527|8|
nas|15606000|15606|4|51809959|53656|11|
njd|54538276|43652|10|16301566|19452|3|
ott|7151050|10461|3|36562363|42558|10|
phi|4457700|6858|2|52713188|54355|11|
phx|18187542|18806|5|38233883|36831|8|
pit|33632500|38064|7|22735658|27728|6|
nyi|2111200|3640|1|64420288|67873|12|
nyr|14397500|22150|5|42424479|48158|10|
sjs|81296140|72558|13|31272500|26586|4|
stl|74265460|82607|12|21832894|19689|3|
tbl|1697600|2122|1|57168174|55932|12|
tor|17199000|26460|7|55665098|55049|10|
van|10458000|26145|10|15083750|15510|3|
was|23006404|24891|6|32831802|33723|7|

