ana|-17|1|309|431|-122|12.94|86.77|4.38|50.45|16|5|3|3|8|49|16.33|3|38|92.11|-------------|40|57|338|670|13|pacific|
wpg|33|5|405|188|217|15.06|85.11|2.55|50.57|10|10|2|0|20|69|28.99|8|47|82.98|-------------|61|28|267|528|11|southeast|
bos|66|3|556|221|335|15.83|90.05|1.69|58.31|26|17|0|0|27|96|28.13|6|41|85.37|-------------|88|22|414|710|13|northeast|
buf|5|2|412|332|80|12.14|86.45|3.46|52.13|18|12|2|1|11|67|16.42|12|61|80.33|-------------|50|45|342|656|13|northeast|
cgy|68|4|513|227|286|17.15|91.19|1.54|57.08|33|17|7|0|23|70|32.86|3|62|95.16|-------------|88|20|399|699|13|northwest|
car|-25|1|311|343|-32|9.32|84.26|4.91|49.60|4|4|1|3|11|53|20.75|17|63|73.02|-------------|29|54|309|623|11|southeast|
chi|23|4|437|340|97|14.87|87.65|3.23|53.42|11|12|4|1|11|39|28.21|17|63|73.02|-------------|65|42|390|730|13|central|
col|16|2|409|345|64|15.40|86.38|3.62|54.92|16|12|4|2|16|59|27.12|10|78|87.18|-------------|63|47|413|752|13|northwest|
cbj|-25|0|290|437|-147|10.69|87.19|4.31|47.47|11|4|2|3|6|47|12.77|17|67|74.63|-------------|31|56|328|691|13|central|
dal|15|5|423|314|109|10.64|90.45|2.31|44.35|6|5|3|1|11|59|18.64|5|67|92.54|-------------|45|30|306|690|13|pacific|
det|41|3|466|286|180|15.45|89.16|2.38|55.80|16|14|5|1|16|58|27.59|8|60|86.67|-------------|72|31|361|647|13|central|
edm|2|1|327|346|-19|15.60|85.84|4.08|48.78|19|8|2|2|6|54|11.11|11|45|75.56|-------------|51|49|299|613|12|northwest|
fla|-100|0|110|653|-543|5.45|83.77|8.15|37.60|0|2|0|5|3|46|6.52|21|81|74.07|-------------|6|106|273|726|13|southeast|
lak|69|6|519|191|328|16.76|90.58|1.38|64.45|30|6|3|0|21|76|27.63|4|37|89.19|-------------|87|18|426|661|13|pacific|
min|-79|1|197|537|-340|9.64|81.75|7.54|44.13|2|4|0|5|6|41|14.63|22|85|74.12|-------------|19|98|338|766|13|northwest|
mtl|8|1|406|285|121|9.61|89.12|2.58|50.17|1|6|2|1|10|49|20.41|6|47|87.23|-------------|39|31|295|588|12|northeast|
nas|0|2|339|410|-71|12.39|89.76|3.23|50.13|10|8|2|0|7|64|10.94|9|59|84.75|-------------|42|42|387|772|13|central|
njd|-68|1|273|450|-177|5.49|81.56|6.38|51.02|1|2|0|8|2|51|3.92|17|51|66.67|-------------|15|83|300|588|13|atlantic|
ott|41|4|444|264|180|13.74|92.42|1.54|49.71|11|16|0|2|12|67|17.91|4|53|92.45|-------------|61|20|343|690|13|atlantic|
phi|-37|1|283|494|-211|9.19|87.25|4.85|43.49|0|3|1|1|3|43|6.98|17|72|76.39|-------------|26|63|304|699|13|atlantic|
phx|-86|0|186|523|-337|3.23|82.41|7.08|37.71|1|1|0|12|1|80|1.25|11|44|75.00|-------------|6|92|273|724|13|northeast|
pit|4|2|332|378|-46|10.84|91.53|2.46|57.12|3|10|5|1|6|30|20.00|12|87|86.21|-------------|36|32|361|632|13|atlantic|
nyi|22|3|402|284|118|14.68|86.97|2.85|50.25|16|10|7|2|12|69|17.39|10|66|84.85|-------------|59|37|304|605|13|pacific|
nyr|54|6|435|263|172|17.01|92.40|1.54|50.92|18|12|2|3|13|68|19.12|4|45|91.11|-------------|74|20|358|703|13|atlantic|
sjs|-63|1|159|577|-418|11.95|85.79|6.31|33.83|2|4|2|5|4|63|6.35|11|63|82.54|-------------|19|82|228|674|13|pacific|
stl|-8|0|356|376|-20|13.48|85.11|4.31|51.46|14|7|3|3|14|57|24.56|8|64|87.50|-------------|48|56|389|756|13|central|
tbl|26|3|456|281|175|11.40|90.75|2.00|59.15|23|4|3|0|4|68|5.88|10|64|84.38|-------------|52|26|375|634|13|southeast|
tor|-6|1|277|376|-99|12.64|89.10|3.42|46.22|7|6|1|1|8|44|18.18|15|63|76.19|-------------|35|41|281|608|12|northeast|
van|-3|4|369|374|-5|12.47|86.90|3.77|54.52|10|3|4|4|15|72|20.83|9|61|85.25|-------------|46|49|362|664|13|northwest|
was|24|4|417|292|125|15.11|86.64|3.25|48.09|21|6|4|4|9|63|14.29|9|37|75.68|-------------|63|39|339|705|12|southeast|

