19|Roland Werning|1|1|0|1|1|5.3|2||NJ Devils|njd|18135904|0|0|0|0|col|05.03.2011|
20|Mikita Rat'kovich|1|0|1|1|1|5.4|4||NJ Devils|njd|19369206|0|0|0|0|col|05.03.2011|
21|Igor Klobučník|1|0|1|1|1|5.4|2||NJ Devils|njd|19292622|0|0|0|0|col|05.03.2011|
22|Jordan Klein|1|0|0|0|-1|3.3|2||NJ Devils|njd|27537885|0|0|4|0|col|05.03.2011|
23|Anatoliy Volokhov|1|0|0|0|-1|3.3|0||NJ Devils|njd|19355673|0|0|0|0|col|05.03.2011|
24|Rudolf Mišík|1|0|0|0|-1|3.5|1||NJ Devils|njd|19293200|0|0|0|0|col|05.03.2011|
25|Béla Zoubek|1|0|0|0|-2|2.8|2||NJ Devils|njd|13616633|0|0|2|0|col|05.03.2011|
26|Jonathan Tanguy|1|0|0|0|-2|2.9|0||NJ Devils|njd|15616758|0|0|0|0|col|05.03.2011|
27|Valdemar Barák|1|0|0|0|1|4.5|2||NJ Devils|njd|15373397|0|0|2|0|col|05.03.2011|
28|Patrik Janík|1|0|0|0|1|4.4|2||NJ Devils|njd|13602157|0|0|0|0|col|05.03.2011|
29|Jakub Pražák|1|0|0|0|-1|3.3|0||NJ Devils|njd|13171659|0|0|0|0|col|05.03.2011|
30|Roberts Bojārs|1|0|0|0|-1|3.3|1||NJ Devils|njd|14163681|0|0|0|0|col|05.03.2011|

1|Sebastjan Šter|1|1|1|2|1|6.3|2||Carolina|car|17122049|0|0|0|0|njd|27.02.2011|
2|Paul Dormann|1|0|1|1|1|5.5|0||Carolina|car|16221937|0|0|0|0|njd|27.02.2011|
3|Marián Bobko|1|0|1|1|1|5.5|2||Carolina|car|12887411|0|0|2|0|njd|27.02.2011|
4|Adrián Révay|1|0|0|0|-1|3.5|3||Carolina|car|16437888|0|0|2|0|njd|27.02.2011|
5|Iľja Pavlikovský|1|0|0|0|-1|3.4|3||Carolina|car|13607461|0|0|2|0|njd|27.02.2011|
6|Servác Gregorík|1|0|0|0|-1|3.3|2||Carolina|car|13378218|0|0|4|0|njd|27.02.2011|
7|Eduard Šútor|1|0|0|0|0|3.8|2||Carolina|car|14656743|0|0|2|0|njd|27.02.2011|
8|Christopher Libby|1|0|0|0|0|4.0|0||Carolina|car|17105704|0|0|0|0|njd|27.02.2011|
9|Egils Eglītis|1|0|0|0|0|4.0|2||Carolina|car|13854654|0|0|0|0|njd|27.02.2011|
10|Brian Ihlica|1|1|0|1|1|5.5|4||Carolina|car|15599805|1|0|0|0|njd|27.02.2011|
11|Tiberiu Olteanu|1|0|0|0|1|4.3|0||Carolina|car|16464988|0|0|0|0|njd|27.02.2011|
12|Dragan Simić|1|0|0|0|-1|3.3|0||Carolina|car|13121101|0|0|0|0|njd|27.02.2011|
13|Miodrag Vukotić|1|0|0|0|-1|3.3|2||Carolina|car|14194745|0|0|0|0|njd|27.02.2011|
14|Radoslav Sabadkovič|1|0|0|0|0|3.8|1||Carolina|car|26903433|0|0|4|0|njd|27.02.2011|
15|Viorel Gheorghe|1|0|0|0|0|3.9|0||Carolina|car|15531929|0|0|0|0|njd|27.02.2011|
16|Gabriel Green|1|0|0|0|2|5.0|6||Colorado|col|14037449|0|0|0|0|stl|27.02.2011|
17|Richard Groves|1|1|0|1|2|6.0|3||Colorado|col|13440081|0|0|0|0|stl|27.02.2011|
18|Robert Schwarz|1|1|0|1|2|6.2|4||Colorado|col|17167699|0|0|0|0|stl|27.02.2011|
19|Martin Nováček|1|0|0|0|0|4.0|4||Colorado|col|16213283|0|0|0|0|stl|27.02.2011|
20|Potap Borisov|1|0|0|0|0|4.2|6||Colorado|col|17633934|0|0|0|0|stl|27.02.2011|
21|Martin Demeš|1|0|0|0|0|4.2|1||Colorado|col|17129434|0|0|0|0|stl|27.02.2011|
22|Joonas Vuorisalmi|1|0|0|0|-1|3.6|1||Colorado|col|17101176|0|0|0|0|stl|27.02.2011|
23|Jakub Chytil|1|0|0|0|-1|3.5|0||Colorado|col|20111575|0|0|0|0|stl|27.02.2011|
24|Karol Turba|1|0|0|0|-1|3.6|3||Colorado|col|20206284|0|0|4|0|stl|27.02.2011|
25|Artúr Ivanov|1|0|1|1|2|6.2|0||Colorado|col|17158103|0|0|0|0|stl|27.02.2011|
26|David Sýkora|1|0|1|1|2|6.2|0||Colorado|col|17311961|0|0|0|0|stl|27.02.2011|
27|Matej Pecho|1|0|0|0|0|4.2|2||Colorado|col|14338994|0|0|0|0|stl|27.02.2011|
28|Rastislav Jankulár|1|0|0|0|0|4.0|2||Colorado|col|16235623|0|0|0|0|stl|27.02.2011|
29|Eduard Kanareykin|1|0|0|0|-1|3.7|0||Colorado|col|17513436|0|0|0|0|stl|27.02.2011|
30|Mārtiņš Alksnis|1|0|0|0|-1|3.5|0||Colorado|col|14465326|0|0|0|0|stl|27.02.2011|
31|Martin Chvátal|1|1|0|1|-1|4.7|3||NJ Devils|njd|14904442|1|0|0|1|car|27.02.2011|
32|Marek Májik|1|1|2|3|-1|6.5|3||NJ Devils|njd|18271496|1|0|0|0|car|27.02.2011|
33|Gonzalo Herriaga|1|2|0|2|-1|5.6|4||NJ Devils|njd|14383772|2|0|2|1|car|27.02.2011|
34|Roland Werning|1|1|1|2|1|6.7|3||NJ Devils|njd|18135904|0|0|0|0|car|27.02.2011|
35|Mikita Rat'kovich|1|0|4|4|1|8.5|4||NJ Devils|njd|19369206|0|0|0|0|car|27.02.2011|
36|Igor Klobučník|1|0|0|0|1|4.7|1||NJ Devils|njd|19292622|0|0|0|0|car|27.02.2011|
37|Balbin Żurek|1|0|0|0|0|4.0|0||NJ Devils|njd|14151959|0|0|0|0|car|27.02.2011|
38|Anatoliy Volokhov|1|0|0|0|0|4.0|0||NJ Devils|njd|19355673|0|0|2|0|car|27.02.2011|
39|Rudolf Mišík|1|0|0|0|0|4.2|1||NJ Devils|njd|19293200|0|0|0|0|car|27.02.2011|
40|Béla Zoubek|1|0|0|0|-1|3.7|0||NJ Devils|njd|13616633|0|0|0|0|car|27.02.2011|
41|Jonathan Tanguy|1|0|0|0|-1|3.5|0||NJ Devils|njd|15616758|0|0|0|0|car|27.02.2011|
42|Valdemar Barák|1|0|1|1|1|5.6|1||NJ Devils|njd|15373397|0|0|0|0|car|27.02.2011|
43|Patrik Janík|1|0|0|0|1|4.7|3||NJ Devils|njd|13602157|0|0|0|0|car|27.02.2011|
44|Zacharias Bersnak|1|0|0|0|0|4.2|1||NJ Devils|njd|19221873|0|0|0|0|car|27.02.2011|
45|Elvis Tanyasi|1|0|0|0|0|4.0|0||NJ Devils|njd|19213218|0|0|0|0|car|27.02.2011|
