ana|8010137|10229|3|38571256|43748|10|
wpg|64828900|46935|11|0|0|0|
bos|61458400|61771|10|47197043|46955|9|
buf|21622260|26033|6|25343372|28791|7|
cgy|49541994|44230|9|52036346|51568|10|
car|0|0|0|31952249|42446|11|
chi|34570902|43343|10|31322876|34234|7|
col|28785842|33353|6|55874079|57473|11|
cbj|8730269|12919|3|47830345|47340|10|
dal|21743100|40171|9|21296438|24360|6|
det|51381822|35170|7|40612657|42103|8|
edm|5325250|6265|2|59375474|55520|12|
fla|45779922|39977|9|17935100|19265|4|
lak|70429890|89445|13|47354247|42492|8|
min|65158400|62676|11|13374632|9677|2|
mtl|43758520|42484|8|30190981|32008|6|
nas|9904807|15697|5|38226101|37939|8|
njd|5072498|5145|3|37374120|42023|10|
ott|25053700|35791|7|58104936|50933|10|
phi|1714700|2638|1|39947465|47079|12|
phx|8857200|8052|3|46696854|49996|10|
pit|24084200|38646|8|29882093|30648|5|
nyi|28398195|35721|6|31108714|34887|7|
nyr|110742209|83252|15|21342300|20377|4|
sjs|28457000|21890|10|15086312|15259|3|
stl|48801900|54746|12|7010094|4511|1|
tbl|17790916|20229|4|60828557|58552|11|
tor|68991600|57493|10|25623962|25125|4|
van|2699000|5398|2|52125931|59825|13|
was|56160132|53733|8|22489999|20722|4|

