Ottawa Senators©=GOAL|Toronto Maple Leafs=G_ALLOWED|Protiútoky gól po obstojnej nahrávke - --Jakub Štěpán - 1:0 !!--(Zianon  Kaviarnia, Radek Bednařík)
Colorado  Avalanche=PIM|Calgary Flames ®=POWERPLAY|vylúčenie hráča - Karsten Heinze4 proti 4
Calgary Flames ®=PIM|Colorado  Avalanche=POWERPLAY|vylúčenie hráča - Samuel Dzierżak4 proti 5
Colorado  Avalanche=GOAL|Calgary Flames ®=G_ALLOWED|--Karsten Heinze - 4:1 !!--PP!!--(Džiugas Valasevičius, Reihnard Hüttner)
Minnesota Wild®=GOAL|Nashville Predators ™=G_ALLOWED|--Angelo Georgescu - 1:0 !!--(Kaaro Taim, Tomáš Vták)
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|gól po výbornej nahrávke - --Marek Bednár - 1:1 !!--(Marián Papp, Abrahám Mojžiš)
Nashville Predators ™=PIM|Minnesota Wild®=POWERPLAY|Tréner zredukoval hru na 3 formácie
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Dobromír Molnár4 proti 5
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Kaaro Taim4 proti 5
Nashville Predators ™=PIM|Minnesota Wild®=POWERPLAY|vylúčenie hráča - Romeo Hybeľ4 proti 4
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Angelo Georgescu4 proti 5
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|--Abrahám Mojžiš - 1:2 !!--PP!!--(Ján Kučera, Norbert Boďo)
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|--Marek Bednár - 1:3 !!--(Marián Papp, Matej Bozáň)
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|gól po obstojnej nahrávke - --Stanislav Suchánek - 1:4 !!--(Anton Jendek)
Minnesota Wild®=GOAL|Nashville Predators ™=G_ALLOWED|gól po perfektnej nahrávke - --Kaaro Taim - 2:4 !!--(Tomáš Vták, Angelo Georgescu)
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|gól po geniálnej nahrávke - --Anton Svitek - 2:5 !!--(Marek Bednár)
