Ottawa Senators©=GOAL|Toronto Maple Leafs=G_ALLOWED|Protiútoky gól po obstojnej nahrávke - --Jakub Štěpán - 1:0 !!--(Zianon  Kaviarnia, Radek Bednařík)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|Krátke prihrávky gól po geniálnej nahrávke - --Brian Keen - 11:0 !!--(Maurícius Kachman, Ivo Župarić)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|Krátke prihrávky gól po geniálnej nahrávke - --Bohumír Dadulák - 12:0 !!--(Jan Prchal)
Philadelphia Flyers ®=PIM|New York Islanders™=POWERPLAY|vylúčenie hráča - Ján Kladiv4 proti 5
Philadelphia Flyers ®=PIM|New York Islanders™=POWERPLAY|vylúčenie hráča - Artur Giatsintov3 proti 5
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|--Demian Baláži - 13:0 !!--PP!!--(bez asistencie)
New York Islanders™=PIM|Philadelphia Flyers ®=POWERPLAY|vylúčenie hráča - Jan Prchal4 proti 5
New York Rangers ™=PIM|Winnipeg Jets™=POWERPLAY|vylúčenie hráča - Štefan Lukács4 proti 5
Winnipeg Jets™=PIM|New York Rangers ™=POWERPLAY|vylúčenie hráča - Les Barton4 proti 5
Winnipeg Jets™=GOAL|New York Rangers ™=G_ALLOWED|Dorážka, --Johan Trompy - 1:0 !!--SH!!--(Artem Efimov, Dale Mcgee)
Winnipeg Jets™=PIM|New York Rangers ™=POWERPLAY|vylúčenie hráča - Johan Trompy3 proti 5
New York Rangers ™=PIM|Winnipeg Jets™=POWERPLAY|vylúčenie hráča - Adam Opát4 proti 5
Winnipeg Jets™=GOAL|New York Rangers ™=G_ALLOWED|--Vojko Gominšek - 2:0 !!--PP!! --(Carl Fortin, Dale Mcgee)
New York Rangers ™=PIM|Winnipeg Jets™=POWERPLAY|vylúčenie hráča - Samuel Kalinay4 proti 5
Winnipeg Jets™=PIM|New York Rangers ™=POWERPLAY|vylúčenie hráča - Ján Budzák4 proti 5
Winnipeg Jets™=GOAL|New York Rangers ™=G_ALLOWED|gól po geniálnej nahrávke - --Flavián Petrák - 3:0 !!--(Artem Efimov)
Winnipeg Jets™=PIM|New York Rangers ™=POWERPLAY|vylúčenie hráča - Les Barton4 proti 5
Winnipeg Jets™=PIM|New York Rangers ™=POWERPLAY|vylúčenie hráča - Johan Trompy3 proti 5
New York Rangers ™=PIM|Winnipeg Jets™=POWERPLAY|vylúčenie hráča - Ambróz Funcík4 proti 5
Detroid Red Wings™=PIM|Columbus Blue Jackets=POWERPLAY|vylúčenie hráča - Sean Moddy4 proti 5
Detroid Red Wings™=PIM|Columbus Blue Jackets=POWERPLAY|vylúčenie hráča - Sean Moddy4 proti 5
Columbus Blue Jackets=GOAL|Detroid Red Wings™=G_ALLOWED|Napádanie --Ismo Myllyaho - 0:1 !!--(bez asistencie)
Detroid Red Wings™=PIM|Columbus Blue Jackets=POWERPLAY|vylúčenie hráča - Matěj Hartman4 proti 5
Columbus Blue Jackets=PIM|Detroid Red Wings™=POWERPLAY|vylúčenie hráča - Marcel Anděl4 proti 5
Columbus Blue Jackets=GOAL|Detroid Red Wings™=G_ALLOWED|Nahrávky spoza brány --Jouko Vaarala - 0:2 !!--(Aarno Nokkila)
Detroid Red Wings™=PIM|Columbus Blue Jackets=POWERPLAY|vylúčenie hráča - Juha Mäntyjoki4 proti 5
Columbus Blue Jackets=GOAL|Detroid Red Wings™=G_ALLOWED|--Anselmi Oivamäki - 0:3 !!--PP!!--(Lukáš Panulin, Onni Hakkarainen)
Detroid Red Wings™=GOAL|Columbus Blue Jackets=G_ALLOWED|--Marko Närvä - 1:3 !!--(Radek Hampl, Valērijs Garausis)
Columbus Blue Jackets=GOAL|Detroid Red Wings™=G_ALLOWED|Napádanie --Ismo Myllyaho - 1:4 !!--(Marcel Anděl, Onni Hakkarainen)
Columbus Blue Jackets=PIM|Detroid Red Wings™=POWERPLAY|vylúčenie hráča - René Němec4 proti 5
Columbus Blue Jackets=PIM|Detroid Red Wings™=POWERPLAY|vylúčenie hráča - Valdis Mīlberts3 proti 5
Detroid Red Wings™=GOAL|Columbus Blue Jackets=G_ALLOWED|--Pavol Chládek - 2:4 !!--PP!!--(Martti Toivanen, Juha Mäntyjoki)
Columbus Blue Jackets=GOAL|Detroid Red Wings™=G_ALLOWED|--Ismo Myllyaho - 2:5 !!--SH!! --(Jouko Vaarala, René Němec)
Columbus Blue Jackets=GOAL|Detroid Red Wings™=G_ALLOWED|Nahrávky spoza brány --Aarno Nokkila - 2:6 !!--(Seppo Niemitalo)
Detroid Red Wings™=PIM|Columbus Blue Jackets=POWERPLAY|vylúčenie hráča - Ari Mäenaho4 proti 5
Columbus Blue Jackets=GOAL|Detroid Red Wings™=G_ALLOWED|Nahrávky spoza brány --Aarno Nokkila - 2:7 !!--(Aku Turkia)
Detroid Red Wings™=PIM|Columbus Blue Jackets=POWERPLAY|vylúčenie hráča - Sean Moddy4 proti 5
Columbus Blue Jackets=PIM|Detroid Red Wings™=POWERPLAY|vylúčenie hráča - Lasse Tynkkinen4 proti 5
Chicago Blackhawks ™=PIM|St. Louis Blues ™=POWERPLAY|vylúčenie hráča - Brian Gron4 proti 5
Chicago Blackhawks ™=PIM|St. Louis Blues ™=POWERPLAY|Tréner zredukoval hru na 3 formácie
St. Louis Blues ™=GOAL|Chicago Blackhawks ™=G_ALLOWED|--Sami Heloma - 0:1 !!--(Jozef Burda)
St. Louis Blues ™=PIM|Chicago Blackhawks ™=POWERPLAY|vylúčenie hráča - Jérémy Doucet4 proti 5
