22:24:03 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mario Lemieux&id_player=25541049&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:23:35 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mario Bourque&id_player=28310242&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:23:04 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mari--n Havran&id_player=27140657&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:41 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Marek Michl--k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:40 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Marek Lipt--k&id_player=29219786&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:37 11.02.2013|157.55.33.47|stats.php|&s=34&pos=defs&type=reg&team=van&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:37 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Mat--j Klein&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:36 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=tor&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:36 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Mat--ss --agars&id_player=22708081&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:34 11.02.2013|157.55.32.61|stats.php|&s=34&pos=defs&type=reg&team=tbl&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:34 11.02.2013|157.55.32.61|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:34 11.02.2013|157.56.229.186|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:33 11.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=reg&team=dal&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:07 11.02.2013|157.55.33.47|stats.php|&s=34&pos=defs&type=reg&team=van&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:07 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Martin L--bal&id_player=32093098&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:06 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Martin Andersson&id_player=20180867&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:05 11.02.2013|65.55.24.233|stats.php|&s=34&pos=points&type=po&team=sjs&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:05 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Marek Kurka&id_player=23763478&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:05 11.02.2013|157.56.229.186|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:05 11.02.2013|157.55.32.61|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:05 11.02.2013|157.55.32.61|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:04 11.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=po&team=wpg&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:04 11.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=po&team=wpg&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:35 11.02.2013|157.56.229.186|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:35 11.02.2013|157.56.229.186|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:34 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=tbl&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:34 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=tor&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:34 11.02.2013|65.55.24.233|stats.php|&s=34&pos=points&type=po&team=sjs&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:34 11.02.2013|157.55.33.47|stats.php|&s=34&pos=defs&type=reg&team=tbl&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:34 11.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=po&team=phi&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:34 11.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=po&team=edm&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:33 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Maro-- Gitara&id_player=28290127&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:33 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Mark Ouellet&id_player=31736908&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:10 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=stl&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:10 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=stl&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:07 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Mari--n Tu--an&id_player=32997580&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:05 11.02.2013|157.55.36.45|stats.php|&s=34&pos=goalies&type=reg&team=tbl&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:05 11.02.2013|157.55.36.45|stats.php|&s=34&pos=goalies&type=reg&team=tor&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:05 11.02.2013|157.55.32.58|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:04 11.02.2013|157.55.33.47|stats.php|&s=34&pos=defs&type=reg&team=stl&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:03 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=van&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:03 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=tor&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:21:03 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=reg&team=tor&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:41 11.02.2013|157.55.33.47|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=stl&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=reg&team=stl&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|157.55.36.45|stats.php|&s=34&pos=goalies&type=reg&team=stl&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=dal&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|157.56.229.186|stats.php|&s=34&pos=defs&type=reg&team=dal&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
