13:16:39 13.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Ray Ord&id_player=32516061&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:15:41 13.02.2013|157.55.32.189|stats.php|&s=04&pos=points&type=po&team=van&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:15:05 13.02.2013|157.55.32.189|stats.php|&s=03&pos=points&type=reg&team=van&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:14:41 13.02.2013|157.55.32.189|stats.php|&s=03&pos=points&type=reg&team=van&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:14:14 13.02.2013|157.55.32.189|stats.php|&s=31&pos=all&type=po&team=tor&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:13:44 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Radovan Vrba&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:13:12 13.02.2013|157.55.32.189|stats.php|&s=13&pos=points&type=reg&team=tor&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:12:35 13.02.2013|157.55.32.189|stats.php|&s=04&pos=goalies&type=po&team=tor&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:12:07 13.02.2013|157.55.32.189|stats.php|&s=03&pos=points&type=reg&team=tor&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:11:38 13.02.2013|157.55.32.189|stats.php|&s=33&pos=all&type=po&team=tbl&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:11:05 13.02.2013|157.55.32.189|stats.php|&s=25&pos=goalies&type=reg&team=tbl&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:10:36 13.02.2013|157.55.32.189|stats.php|&s=25&pos=points&type=reg&team=lak&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:10:05 13.02.2013|157.55.32.189|stats.php|&s=25&pos=points&type=reg&team=det&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:09:39 13.02.2013|157.55.32.189|stats.php|&s=25&pos=goalies&type=reg&team=nas&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:09:15 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Adolf Bahorec&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:08:44 13.02.2013|157.55.32.189|stats.php|&s=25&pos=goalies&type=reg&team=lak&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:07:48 13.02.2013|157.55.32.189|stats.php|&s=25&pos=goalies&type=reg&team=bos&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:07:12 13.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=van&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:06:40 13.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=van&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:06:10 13.02.2013|157.55.32.189|stats.php|&s=25&pos=goalies&type=reg&team=bos&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:05:40 13.02.2013|157.55.32.189|stats.php|&s=25&pos=goalies&type=reg&team=bos&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:05:10 13.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=van&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:04:36 13.02.2013|157.55.33.47|stats.php|&s=03&pos=goalies&type=reg&team=van&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:04:08 13.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=tor&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:03:36 13.02.2013|157.55.32.189|stats.php|&s=25&pos=defs&type=reg&team=wpg&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
