14:16:36 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Toma-- Ko--ir&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:16:18 12.02.2013|66.249.78.168|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:16:16 12.02.2013|66.249.75.190|stats.php|&s=18&pos=all&type=po&team=lak&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:16:15 12.02.2013|66.249.78.46|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:16:15 12.02.2013|66.249.78.194|player_stats.php|&pos=points&name=Miika Gr--nfors&id_player=21577954&s=31||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:16:04 12.02.2013|66.249.75.44|stats.php|&s=05&pos=goalies&type=reg&team=tor&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:16:03 12.02.2013|66.249.75.180|schedule.php|&s=15&type=po&team=phi||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:15:59 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Valentino Zott&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:15:41 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Valdemar --ech&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:15:09 12.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Bernard Skr--can--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:14:49 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Tom---- Tich--&id_player=6766538&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:14:12 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Terry Stockwell&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:14:10 12.02.2013|66.249.75.20|stats.php|&s=05&pos=goalies&type=reg&team=tor&sort=svs&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:14:09 12.02.2013|66.249.78.207|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:14:05 12.02.2013|66.249.78.47|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
