08:23:40 13.02.2013|66.249.78.178|teams_compare.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
08:16:36 13.02.2013|66.249.76.178|player_stats.php|&pos=points&name=Miroslav Bob--ek&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
08:15:21 13.02.2013|66.249.78.40|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
08:12:57 13.02.2013|178.154.165.251|pics.php|||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
08:11:51 13.02.2013|66.249.76.166|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
08:10:33 13.02.2013|157.55.32.149|player_stats.php|&pos=points&name=J--lijs Salzemnieks&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
08:10:04 13.02.2013|66.249.78.27|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:51:14 13.02.2013|66.249.76.198|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:50:10 13.02.2013|66.249.76.192|news.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:33:10 13.02.2013|178.154.165.251|magazine.php|&id_page=1||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
07:31:07 13.02.2013|66.249.78.214|news.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:29:39 13.02.2013|66.249.76.169|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:25:55 13.02.2013|66.249.78.14|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:17:52 13.02.2013|66.249.78.215|player_stats.php|&pos=points&name=Be--adik Trnka&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:09:47 13.02.2013|66.249.78.34|player_stats.php|&pos=points&name=Innokentiy Volkov&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
