05:54:07 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Jakub Knotek&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:54:06 12.02.2013|157.55.32.113|player_stats.php|&pos=goalies&name=Alfonz Kopa--ka&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:53:49 12.02.2013|157.55.32.61|player_stats.php|&pos=goalies&name=Elis Gruba--&id_player=30839050&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:53:40 12.02.2013|157.56.93.201|stats.php|&s=32&pos=all&type=po&team=bos&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:53:09 12.02.2013|157.55.32.61|player_stats.php|&pos=goalies&name=Bruno Salussoglia&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:53:06 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Izidor Forrai&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:52:43 12.02.2013|157.55.32.189|stats.php|&s=03&pos=goalies&type=reg&team=car&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:52:40 12.02.2013|157.55.32.61|player_stats.php|&pos=goalies&name=Armands Latv--nis&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:52:05 12.02.2013|157.55.32.61|player_stats.php|&pos=goalies&name=Alexey Arkhireev&id_player=30275894&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:52:05 12.02.2013|157.55.32.189|stats.php|&s=03&pos=goalies&type=reg&team=car&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:51:34 12.02.2013|157.55.32.189|stats.php|&s=03&pos=goalies&type=reg&team=bos&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:51:06 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Ivan Krehe--&id_player=22286718&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:50:34 12.02.2013|157.55.32.189|schedule.php|&s=33&type=reg&team=nas||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:50:31 12.02.2013|66.249.78.196|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:50:06 12.02.2013|157.55.32.189|schedule.php|&s=33&type=reg&team=min||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:49:35 12.02.2013|157.55.32.113|schedule.php|&s=33&type=reg&team=phx||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:49:20 12.02.2013|66.249.75.216|player_stats.php|&pos=points&name=--ubom--r Bo--ko&id_player=29732886&s=32||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:49:06 12.02.2013|157.55.32.189|schedule.php|&s=33&type=reg&team=det||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:48:49 12.02.2013|66.249.78.11|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:48:45 12.02.2013|66.249.78.187|standings.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:48:36 12.02.2013|157.55.32.113|schedule.php|&s=33&type=reg&team=nyr||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:48:07 12.02.2013|157.55.32.189|schedule.php|&s=33&type=reg&team=bos||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:47:35 12.02.2013|157.55.32.113|schedule.php|&s=33&type=reg&team=car||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:47:04 12.02.2013|157.55.32.113|schedule.php|&s=32&type=reg&team=was||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:46:45 12.02.2013|157.55.32.189|schedule.php|&s=32&type=reg&team=wpg||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:46:11 12.02.2013|157.55.32.113|schedule.php|&s=32&type=reg&team=lak||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:45:36 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Jakub Lapor----k&id_player=16639132&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:45:05 12.02.2013|157.55.32.189|schedule.php|&s=32&type=reg&team=phi||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:44:35 12.02.2013|157.55.32.189|schedule.php|&s=32&type=reg&team=ott||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:44:05 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Jakub P--nsky&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:43:46 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=J--n --tevko&id_player=12060608&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:43:09 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Ioan Dimitrescu&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:42:35 12.02.2013|157.56.93.201|stats.php|&s=23&pos=defs&type=reg&team=bos&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:42:10 12.02.2013|157.56.229.186|teams_compare.php|&team1=nyi&team2=sjs||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:41:38 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=J--n Buben--k&id_player=12200626&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:41:15 12.02.2013|157.56.229.186|teams_compare.php|&team1=min&team2=wpg||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:40:37 12.02.2013|157.56.93.201|stats.php|&s=03&pos=points&type=reg&team=bos&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:40:05 12.02.2013|157.56.229.186|stats.php|&s=31&pos=points&type=reg&team=wpg&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:39:38 12.02.2013|157.56.229.186|stats.php|&s=27&pos=defs&type=reg&team=buf&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:39:09 12.02.2013|157.56.229.186|stats.php|&s=04&pos=goalies&type=po&team=buf&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:38:36 12.02.2013|157.56.93.201|stats.php|&s=03&pos=goalies&type=reg&team=bos&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:38:22 12.02.2013|66.249.75.39|stats.php|&s=02&pos=goalies&type=reg&team=stl&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:38:14 12.02.2013|66.249.78.194|manager_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:38:07 12.02.2013|157.56.229.186|stats.php|&s=23&pos=goalies&type=reg&team=bos&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:37:38 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Isto Latukka&id_player=17817477&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:37:06 12.02.2013|157.56.229.186|stats.php|&s=19&pos=goalies&type=reg&team=bos&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:36:44 12.02.2013|157.56.229.186|stats.php|&s=13&pos=defs&type=reg&team=bos&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:36:08 12.02.2013|157.56.229.186|stats.php|&s=34&pos=goalies&type=reg&team=ana&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:35:37 12.02.2013|157.56.229.186|schedule.php|&s=34&type=po&team=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:35:05 12.02.2013|157.56.93.201|stats.php|&s=allstats&pos=goalies&type=reg&team=ana&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:34:38 12.02.2013|157.56.229.186|schedule.php|&s=33&type=reg&team=lak||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:34:09 12.02.2013|157.56.93.201|stats.php|&s=03&pos=goalies&type=reg&team=min&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:33:39 12.02.2013|157.56.93.201|stats.php|&s=03&pos=goalies&type=reg&team=car&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:33:08 12.02.2013|157.56.229.186|player_stats.php|&pos=points&name=J--n Zelinka&id_player=15154887&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:32:34 12.02.2013|157.56.93.201|schedule.php|&s=32&type=reg&team=tbl||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:32:05 12.02.2013|157.56.93.201|schedule.php|&s=32&type=reg&team=nyi||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:31:07 12.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Jack Keeley&id_player=26668649&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:30:37 12.02.2013|157.56.93.201|player_stats.php|&pos=points&name=J--n Zverka&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:17:27 12.02.2013|66.249.78.213|news.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:07:34 12.02.2013|66.249.75.201|ballot_manager_stats.php|||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:57:18 12.02.2013|66.249.75.190|player_stats.php|&pos=points&name=Ari Tasanen&id_player=4858597&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:44:40 12.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:43:33 12.02.2013|65.55.52.119|stats.php|&s=19&pos=points&type=reg&team=edm&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:43:03 12.02.2013|157.55.32.58|stats.php|&s=04&pos=points&type=po&team=tbl&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:42:34 12.02.2013|157.56.229.186|stats.php|&s=03&pos=goalies&type=reg&team=fla&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:42:09 12.02.2013|157.56.93.201|stats.php|&s=21&pos=points&type=reg&team=edm&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:41:33 12.02.2013|157.56.93.201|stats.php|&s=25&pos=defs&type=reg&team=lak&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:41:04 12.02.2013|157.55.32.58|stats.php|&s=03&pos=points&type=reg&team=fla&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:40:36 12.02.2013|66.249.78.213|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:40:33 12.02.2013|157.55.32.58|stats.php|&s=23&pos=points&type=reg&team=edm&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:40:03 12.02.2013|157.56.93.201|stats.php|&s=25&pos=defs&type=reg&team=bos&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:39:34 12.02.2013|157.56.93.201|stats.php|&s=23&pos=points&type=reg&team=van&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:39:33 12.02.2013|66.249.78.198|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:39:03 12.02.2013|157.56.229.186|stats.php|&s=03&pos=goalies&type=reg&team=fla&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:38:33 12.02.2013|157.55.32.58|stats.php|&s=23&pos=points&type=reg&team=edm&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:38:04 12.02.2013|157.55.32.113|stats.php|&s=25&pos=defs&type=reg&team=nas&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:37:33 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=nas&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:37:03 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=nas&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
