04:42:55 13.02.2013|157.55.33.47|stats.php|&s=07&pos=goalies&type=po&team=phx&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:42:29 13.02.2013|66.249.76.166|teams_compare.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:42:28 13.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=phx&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:42:01 13.02.2013|66.249.78.176|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:41:59 13.02.2013|157.55.33.47|stats.php|&s=allstats&pos=goalies&type=reg&team=phi&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:41:27 13.02.2013|157.55.33.47|stats.php|&s=12&pos=goalies&type=po&team=phi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:41:01 13.02.2013|157.55.32.61|stats.php|&s=34&pos=all&type=po&team=all&sort=svs_perc&page=1&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:40:28 13.02.2013|157.55.32.61|standings.php|&s=31||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:39:59 13.02.2013|157.55.32.61|standings.php|&s=30||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:39:36 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Ladislav Vajansk--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:39:02 13.02.2013|157.55.32.61|standings.php|&s=26||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:38:30 13.02.2013|157.55.32.61|stats.php|&s=10&pos=points&type=reg&team=phx&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:37:58 13.02.2013|157.55.33.47|stats.php|&s=06&pos=goalies&type=po&team=phi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:37:29 13.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Karol Turba&id_player=20206284&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:36:57 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Keimo Vahlstedt&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:36:30 13.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=phi&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:35:55 13.02.2013|157.55.32.149|player_stats.php|&pos=points&name=Kimmo Jormakka&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:34:55 13.02.2013|157.55.32.149|stats.php|&s=23&pos=goalies&type=reg&team=van&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:34:25 13.02.2013|157.55.32.149|stats.php|&s=23&pos=goalies&type=reg&team=nas&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:33:55 13.02.2013|157.55.32.149|stats.php|&s=23&pos=goalies&type=reg&team=edm&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:33:25 13.02.2013|157.55.32.189|stats.php|&s=04&pos=points&type=po&team=sjs&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:32:55 13.02.2013|157.55.32.149|stats.php|&s=23&pos=goalies&type=reg&team=bos&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:31:59 13.02.2013|157.55.33.47|stats.php|&s=03&pos=goalies&type=reg&team=phi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:31:28 13.02.2013|157.55.33.47|stats.php|&s=32&pos=all&type=po&team=ott&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
