14:58:02 12.02.2013|66.249.78.25|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:58:02 12.02.2013|157.55.32.189|stats.php|&s=30&pos=defs&type=reg&team=bos&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:57:59 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Rare-- Vadim&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:57:46 12.02.2013|66.249.78.198|player_stats.php|&pos=points&name=--ubom--r Raj--an&id_player=8216561&s=35||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:46 12.02.2013|66.249.75.212|stats.php|&s=08&pos=goalies&type=po&team=chi&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:42 12.02.2013|66.249.78.187|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:36 12.02.2013|157.56.229.186|player_stats.php|&pos=points&name=Rastislav Luk--o&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:57:32 12.02.2013|66.249.78.207|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:28 12.02.2013|157.55.32.190|stats.php|&s=31&pos=goalies&type=reg&team=wpg&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:57:28 12.02.2013|66.249.75.195|stats.php|&s=03&pos=goalies&type=reg&team=ana&sort=svs&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:23 12.02.2013|66.249.78.19|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:19 12.02.2013|66.249.78.22|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:18 12.02.2013|66.249.78.187|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:13 12.02.2013|66.249.75.208|stats.php|&s=25&pos=defs&type=reg&team=nas&sort=goals&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:12 12.02.2013|157.55.32.190|stats.php|&s=31&pos=goalies&type=reg&team=wpg&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:57:08 12.02.2013|66.249.75.194|stats.php|&s=27&pos=all&type=reg&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:02 12.02.2013|66.249.75.35|stats.php|&s=16&pos=defs&type=po&team=chi&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:57:00 12.02.2013|66.249.78.185|teams_compare.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:56:42 12.02.2013|157.55.32.190|stats.php|&s=31&pos=goalies&type=reg&team=fla&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:56:40 12.02.2013|66.249.75.213|stats.php|&s=04&pos=all&type=reg&team=nyr&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:56:39 12.02.2013|66.249.75.200|schedule.php|&s=04&type=po&team=ott||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:56:39 12.02.2013|66.249.78.28|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:56:07 12.02.2013|157.55.32.189|stats.php|&s=13&pos=goalies&type=reg&team=col&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
